virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,result
testGetStringInconsistentRecord_recordWithHeader_L69_F_1,1,1,1,1,1,0,0,0,FAIL
testGetString_recordWithHeader_L56_P_1,1,1,1,1,1,1,0,0,PASS
testGetString_recordWithHeader_L57_P_2,1,1,1,1,1,1,0,0,PASS
testGetString_recordWithHeader_L58_P_3,1,1,1,1,1,1,0,0,PASS
testIsConsistent_recordWithHeader_L75_P_4,1,1,1,1,1,0,0,0,PASS
testIsConsistent_recordWithHeader_L78_P_5,1,1,1,1,1,0,0,0,PASS
testIsMapped_recordWithHeader_L84_P_6,1,1,1,1,1,0,0,0,PASS
testIsMapped_recordWithHeader_L85_P_7,1,1,1,1,1,0,0,0,PASS
testIsSet_recordWithHeader_L91_P_8,1,1,1,1,1,0,1,1,PASS
testIsSet_recordWithHeader_L92_P_9,1,1,1,1,1,0,0,0,PASS
