rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S63,Caverphone.java,170,return caverphone(pString);,0.353553,1,1
2,S1,Caverphone.java,41,super();,0.333333,62,63
2,S2,Caverphone.java,54,if( txt == null || txt.length() == 0 ) {,0.333333,62,63
2,S3,Caverphone.java,59,txt = txt.toLowerCase(java.util.Locale.ENGLISH);,0.333333,62,63
2,S4,Caverphone.java,62,"txt = txt.replaceAll(""[^a-z]"", """");",0.333333,62,63
2,S5,Caverphone.java,65,"txt = txt.replaceAll(""e$"", """");             // 2.0 only",0.333333,62,63
2,S6,Caverphone.java,68,"txt = txt.replaceAll(""^cough"", ""cou2f"");",0.333333,62,63
2,S7,Caverphone.java,69,"txt = txt.replaceAll(""^rough"", ""rou2f"");",0.333333,62,63
2,S8,Caverphone.java,70,"txt = txt.replaceAll(""^tough"", ""tou2f"");",0.333333,62,63
2,S9,Caverphone.java,71,"txt = txt.replaceAll(""^enough"", ""enou2f"");  // 2.0 only",0.333333,62,63
2,S10,Caverphone.java,72,"txt = txt.replaceAll(""^trough"", ""trou2f"");  // 2.0 only - note the spec says ^enough here again, c+p error I assume",0.333333,62,63
2,S11,Caverphone.java,73,"txt = txt.replaceAll(""^gn"", ""2n"");",0.333333,62,63
2,S12,Caverphone.java,76,"txt = txt.replaceAll(""^mb"", ""m2"");",0.333333,62,63
2,S13,Caverphone.java,79,"txt = txt.replaceAll(""cq"", ""2q"");",0.333333,62,63
2,S14,Caverphone.java,80,"txt = txt.replaceAll(""ci"", ""si"");",0.333333,62,63
2,S15,Caverphone.java,81,"txt = txt.replaceAll(""ce"", ""se"");",0.333333,62,63
2,S16,Caverphone.java,82,"txt = txt.replaceAll(""cy"", ""sy"");",0.333333,62,63
2,S17,Caverphone.java,83,"txt = txt.replaceAll(""tch"", ""2ch"");",0.333333,62,63
2,S18,Caverphone.java,84,"txt = txt.replaceAll(""c"", ""k"");",0.333333,62,63
2,S19,Caverphone.java,85,"txt = txt.replaceAll(""q"", ""k"");",0.333333,62,63
2,S20,Caverphone.java,86,"txt = txt.replaceAll(""x"", ""k"");",0.333333,62,63
2,S21,Caverphone.java,87,"txt = txt.replaceAll(""v"", ""f"");",0.333333,62,63
2,S22,Caverphone.java,88,"txt = txt.replaceAll(""dg"", ""2g"");",0.333333,62,63
2,S23,Caverphone.java,89,"txt = txt.replaceAll(""tio"", ""sio"");",0.333333,62,63
2,S24,Caverphone.java,90,"txt = txt.replaceAll(""tia"", ""sia"");",0.333333,62,63
2,S25,Caverphone.java,91,"txt = txt.replaceAll(""d"", ""t"");",0.333333,62,63
2,S26,Caverphone.java,92,"txt = txt.replaceAll(""ph"", ""fh"");",0.333333,62,63
2,S27,Caverphone.java,93,"txt = txt.replaceAll(""b"", ""p"");",0.333333,62,63
2,S28,Caverphone.java,94,"txt = txt.replaceAll(""sh"", ""s2"");",0.333333,62,63
2,S29,Caverphone.java,95,"txt = txt.replaceAll(""z"", ""s"");",0.333333,62,63
2,S30,Caverphone.java,96,"txt = txt.replaceAll(""^[aeiou]"", ""A"");",0.333333,62,63
2,S31,Caverphone.java,97,"txt = txt.replaceAll(""[aeiou]"", ""3"");",0.333333,62,63
2,S32,Caverphone.java,98,"txt = txt.replaceAll(""j"", ""y"");        // 2.0 only",0.333333,62,63
2,S33,Caverphone.java,99,"txt = txt.replaceAll(""^y3"", ""Y3"");     // 2.0 only",0.333333,62,63
2,S34,Caverphone.java,100,"txt = txt.replaceAll(""^y"", ""A"");       // 2.0 only",0.333333,62,63
2,S35,Caverphone.java,101,"txt = txt.replaceAll(""y"", ""3"");        // 2.0 only",0.333333,62,63
2,S36,Caverphone.java,102,"txt = txt.replaceAll(""3gh3"", ""3kh3"");",0.333333,62,63
2,S37,Caverphone.java,103,"txt = txt.replaceAll(""gh"", ""22"");",0.333333,62,63
