name,elapsed_s,status
JacksonXml_1b,2923,OK
JacksonXml_2b,2239,OK
JacksonXml_3b,1475,OK
JacksonXml_4b,2585,OK
JacksonXml_5b,1334,OK
JacksonXml_6b,3404,OK
Cli_1b,669,OK
Cli_2b,638,OK
Cli_3b,434,OK
Cli_4b,657,OK
Cli_5b,982,OK
Cli_7b,81,OK
Cli_8b,440,OK
Cli_9b,687,OK
Cli_10b,684,OK
Cli_11b,390,OK
Cli_12b,453,OK
Cli_13b,2204,OK
Cli_14b,1547,OK
Cli_15b,2070,OK
Cli_16b,2742,OK
Cli_17b,720,OK
Cli_18b,731,OK
Cli_19b,742,OK
Cli_20b,738,OK
Cli_21b,2622,OK
Cli_22b,1077,OK
Cli_23b,664,OK
Cli_24b,661,OK
Cli_25b,877,OK
Cli_26b,1049,OK
Cli_27b,931,OK
Cli_28b,2130,OK
Cli_29b,1099,OK
Cli_30b,1032,OK
Cli_31b,1506,OK
Cli_32b,356,OK
Cli_33b,725,OK
Cli_34b,2539,OK
Cli_35b,2057,OK
Cli_36b,1082,OK
Cli_37b,130,OK
Cli_38b,182,OK
Cli_39b,130,OK
Cli_40b,240,OK
Jsoup_1b,24,FAIL
Jsoup_2b,6,FAIL
Jsoup_3b,23,FAIL
Jsoup_4b,7,FAIL
Jsoup_5b,6,FAIL
Jsoup_6b,19203,OK
Jsoup_7b,114,OK
Jsoup_8b,115,OK
Jsoup_9b,76,OK
Jsoup_10b,115,OK
Jsoup_11b,76,OK
Jsoup_12b,78,OK
Jsoup_13b,158,OK
Jsoup_14b,90,OK
Jsoup_15b,90,OK
Jsoup_16b,111,OK
Jsoup_17b,90,OK
Jsoup_18b,90,OK
Jsoup_19b,7,FAIL
Jsoup_20b,148,OK
Jsoup_21b,153,OK
Jsoup_22b,273,OK
Jsoup_23b,160,OK
Jsoup_24b,159,OK
Jsoup_25b,180,OK
Jsoup_26b,8,FAIL
Jsoup_27b,183,OK
Jsoup_28b,180,OK
Jsoup_29b,279,OK
Jsoup_30b,8,FAIL
Jsoup_31b,159,OK
Jsoup_32b,327,OK
Jsoup_33b,324,OK
Jsoup_34b,331,OK
Jsoup_35b,324,OK
Jsoup_36b,2414,OK
Jsoup_37b,540,OK
Jsoup_38b,361,OK
Jsoup_39b,184,OK
Jsoup_40b,422,OK
Jsoup_41b,778,OK
Jsoup_42b,439,OK
Jsoup_43b,798,OK
Jsoup_44b,545,OK
Jsoup_45b,552,OK
Jsoup_46b,580,OK
Jsoup_47b,581,OK
Jsoup_48b,8,FAIL
Jsoup_49b,1011,OK
Jsoup_50b,3876,OK
Jsoup_51b,606,OK
Jsoup_52b,4531,OK
Jsoup_53b,593,OK
Jsoup_54b,314,OK
Jsoup_55b,658,OK
Jsoup_56b,679,OK
Jsoup_57b,3238,OK
Jsoup_58b,705,OK
Jsoup_59b,711,OK
Jsoup_60b,672,OK
Jsoup_61b,1118,OK
Jsoup_62b,728,OK
Jsoup_63b,6511,OK
Jsoup_64b,6496,OK
Jsoup_65b,6758,OK
Jsoup_66b,7335,OK
Jsoup_67b,7983,OK
Jsoup_68b,962,OK
Jsoup_69b,970,OK
Jsoup_70b,1023,OK
Jsoup_71b,1016,OK
Jsoup_72b,2351,OK
Jsoup_73b,2440,OK
Jsoup_74b,973,OK
Jsoup_75b,1647,OK
Jsoup_76b,1081,OK
Jsoup_77b,1074,OK
Jsoup_78b,1121,OK
Jsoup_79b,1153,OK
Jsoup_80b,12102,OK
Jsoup_81b,10457,OK
Jsoup_82b,624,OK
Jsoup_83b,1214,OK
Jsoup_84b,56,OK
Jsoup_85b,1193,OK
Jsoup_86b,12191,OK
Jsoup_87b,1229,OK
Jsoup_88b,1215,OK
Jsoup_89b,1214,OK
Jsoup_90b,163,OK
Jsoup_91b,2360,OK
Jsoup_92b,1330,OK
Jsoup_93b,1264,OK
