Project,BugID,Total_Fault_Lines,Unanswerable_Fault_Lines,Bug_Fully_Unanswerable
JacksonXml,1b,6,0,False
JacksonXml,2b,8,2,False
JacksonXml,3b,2,0,False
JacksonXml,4b,2,0,False
JacksonXml,5b,1,0,False
JacksonXml,6b,10,10,True
Cli,1b,32,2,False
Cli,2b,2,0,False
Cli,3b,2,0,False
Cli,4b,1,0,False
Cli,5b,1,0,False
Cli,7b,3,1,False
Cli,8b,1,0,False
Cli,9b,2,0,False
Cli,10b,2,1,False
Cli,11b,1,0,False
Cli,12b,2,0,False
Cli,13b,5,4,False
Cli,14b,5,0,False
Cli,15b,7,2,False
Cli,16b,7,6,False
Cli,17b,1,0,False
Cli,18b,6,0,False
Cli,19b,3,1,False
Cli,20b,4,0,False
Cli,21b,15,10,False
Cli,22b,14,3,False
Cli,23b,5,0,False
Cli,24b,2,0,False
Cli,25b,1,0,False
Cli,26b,4,3,False
Cli,27b,2,0,False
Cli,28b,1,0,False
Cli,29b,6,0,False
Cli,30b,8,2,False
Cli,31b,4,0,False
Cli,32b,5,0,False
Cli,33b,4,3,False
Cli,34b,2,0,False
Cli,35b,1,1,True
Cli,36b,5,1,False
Cli,37b,2,1,False
Cli,38b,2,1,False
Cli,39b,2,1,False
Cli,40b,1,0,False
Jsoup,6b,2,0,False
Jsoup,7b,4,4,True
Jsoup,8b,2,1,False
Jsoup,9b,1,0,False
Jsoup,10b,1,0,False
Jsoup,11b,5,3,False
Jsoup,12b,2,1,False
Jsoup,13b,1,0,False
Jsoup,14b,3,1,False
Jsoup,15b,1,0,False
Jsoup,16b,4,1,False
Jsoup,17b,1,0,False
Jsoup,18b,2,1,False
Jsoup,20b,1,0,False
Jsoup,21b,11,2,False
Jsoup,22b,8,6,False
Jsoup,23b,3,2,False
Jsoup,24b,1,0,False
Jsoup,25b,1,0,False
Jsoup,27b,2,0,False
Jsoup,28b,42,4,False
Jsoup,29b,2,1,False
Jsoup,31b,3,1,False
Jsoup,32b,1,0,False
Jsoup,33b,1,0,False
Jsoup,34b,1,0,False
Jsoup,35b,1,0,False
Jsoup,36b,7,1,False
Jsoup,37b,1,0,False
Jsoup,38b,2,0,False
Jsoup,39b,1,0,False
Jsoup,40b,1,0,False
Jsoup,41b,1,0,False
Jsoup,42b,2,1,False
Jsoup,43b,1,0,False
Jsoup,44b,3,1,False
Jsoup,45b,1,0,False
Jsoup,46b,1,0,False
Jsoup,47b,1,0,False
Jsoup,49b,2,0,False
Jsoup,50b,8,1,False
Jsoup,51b,1,0,False
Jsoup,52b,26,1,False
Jsoup,53b,2,1,False
Jsoup,54b,1,0,False
Jsoup,55b,1,0,False
Jsoup,56b,13,4,False
Jsoup,57b,1,0,False
Jsoup,58b,5,3,False
Jsoup,59b,2,0,False
Jsoup,60b,3,1,False
Jsoup,61b,1,0,False
Jsoup,62b,1,0,False
Jsoup,63b,14,0,False
Jsoup,64b,2,1,False
Jsoup,65b,4,0,False
Jsoup,66b,6,1,False
Jsoup,67b,2,1,False
Jsoup,68b,4,0,False
Jsoup,69b,1,1,True
Jsoup,70b,3,0,False
Jsoup,71b,5,5,True
Jsoup,72b,1,1,True
Jsoup,73b,7,3,False
Jsoup,74b,3,2,False
Jsoup,75b,2,0,False
Jsoup,76b,1,0,False
Jsoup,77b,1,0,False
Jsoup,78b,4,1,False
Jsoup,79b,3,2,False
Jsoup,80b,2,0,False
Jsoup,81b,2,1,False
Jsoup,82b,2,0,False
Jsoup,83b,4,0,False
Jsoup,84b,1,0,False
Jsoup,85b,2,0,False
Jsoup,86b,1,0,False
Jsoup,87b,60,4,False
Jsoup,88b,1,0,False
Jsoup,89b,2,0,False
Jsoup,90b,1,0,False
Jsoup,91b,6,6,True
Jsoup,92b,9,7,False
Jsoup,93b,1,1,True
