Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,Not_All_Faulty_Stmts_In_Slice,No_Faulty_Stmts_In_Slice
JacksonXml,1b,6,6,1.0,6,False,False
JacksonXml,2b,6,3,0.5,3,True,False
JacksonXml,3b,2,1,0.5,4,True,False
JacksonXml,4b,2,2,1.0,4,False,False
JacksonXml,5b,1,1,1.0,6,False,False
JacksonXml,6b,10,0,0.0,11,True,True
Cli,1b,29,15,0.517241,3,True,False
Cli,2b,2,1,0.5,3,True,False
Cli,3b,2,1,0.5,1,True,False
Cli,4b,1,1,1.0,4,False,False
Cli,5b,1,1,1.0,4,False,False
Cli,7b,3,1,0.333333,1,True,False
Cli,8b,1,1,1.0,2,False,False
Cli,9b,2,2,1.0,4,False,False
Cli,10b,2,1,0.5,3,True,False
Cli,11b,1,1,1.0,2,False,False
Cli,12b,1,1,1.0,4,False,False
Cli,13b,5,1,0.2,3,True,False
Cli,14b,5,4,0.8,1,True,False
Cli,15b,7,2,0.285714,4,True,False
Cli,16b,7,1,0.142857,5,True,False
Cli,17b,1,1,1.0,3,False,False
Cli,18b,5,1,0.2,3,True,False
Cli,19b,3,1,0.333333,3,True,False
Cli,20b,4,4,1.0,3,False,False
Cli,21b,15,4,0.266667,3,True,False
Cli,22b,13,5,0.384615,3,True,False
Cli,23b,3,2,0.666667,4,True,False
Cli,24b,1,1,1.0,3,False,False
Cli,25b,1,1,1.0,3,False,False
Cli,26b,4,1,0.25,4,True,False
Cli,27b,2,0,0.0,2,True,True
Cli,28b,1,1,1.0,3,False,False
Cli,29b,5,4,0.8,3,True,False
Cli,30b,6,2,0.333333,3,True,False
Cli,31b,4,4,1.0,2,False,False
Cli,32b,3,1,0.333333,2,True,False
Cli,33b,4,1,0.25,1,True,False
Cli,34b,2,1,0.5,3,True,False
Cli,35b,1,0,0.0,2,True,True
Cli,36b,5,2,0.4,2,True,False
Cli,37b,2,1,0.5,1,True,False
Cli,38b,2,1,0.5,1,True,False
Cli,39b,2,1,0.5,2,True,False
Cli,40b,1,1,1.0,1,False,False
Jsoup,6b,2,2,1.0,1,False,False
Jsoup,7b,4,0,0.0,0,True,True
Jsoup,8b,2,0,0.0,0,True,True
Jsoup,9b,1,0,0.0,0,True,True
Jsoup,10b,1,0,0.0,0,True,True
Jsoup,11b,5,0,0.0,0,True,True
Jsoup,12b,2,0,0.0,0,True,True
Jsoup,13b,1,0,0.0,0,True,True
Jsoup,14b,2,0,0.0,0,True,True
Jsoup,15b,1,0,0.0,0,True,True
Jsoup,16b,4,1,0.25,1,True,False
Jsoup,17b,1,0,0.0,0,True,True
Jsoup,18b,2,0,0.0,0,True,True
Jsoup,20b,1,0,0.0,0,True,True
Jsoup,21b,11,0,0.0,2,True,True
Jsoup,22b,8,0,0.0,2,True,True
Jsoup,23b,3,0,0.0,2,True,True
Jsoup,24b,1,0,0.0,2,True,True
Jsoup,25b,1,0,0.0,2,True,True
Jsoup,27b,2,2,1.0,1,False,False
Jsoup,28b,39,0,0.0,2,True,True
Jsoup,29b,2,0,0.0,2,True,True
Jsoup,31b,3,0,0.0,2,True,True
Jsoup,32b,1,0,0.0,2,True,True
Jsoup,33b,1,0,0.0,2,True,True
Jsoup,34b,1,0,0.0,2,True,True
Jsoup,35b,1,0,0.0,2,True,True
Jsoup,36b,6,5,0.833333,5,True,False
Jsoup,37b,1,0,0.0,2,True,True
Jsoup,38b,2,0,0.0,2,True,True
Jsoup,39b,1,0,0.0,0,True,True
Jsoup,40b,1,1,1.0,3,False,False
Jsoup,41b,1,1,1.0,3,False,False
Jsoup,42b,2,0,0.0,2,True,True
Jsoup,43b,1,0,0.0,2,True,True
Jsoup,44b,3,2,0.666667,3,True,False
Jsoup,45b,1,0,0.0,2,True,True
Jsoup,46b,1,0,0.0,3,True,True
Jsoup,47b,1,0,0.0,2,True,True
Jsoup,49b,2,2,1.0,3,False,False
Jsoup,50b,8,1,0.125,1,True,False
Jsoup,51b,1,0,0.0,2,True,True
Jsoup,52b,26,13,0.5,8,True,False
Jsoup,53b,2,0,0.0,2,True,True
Jsoup,54b,1,1,1.0,1,False,False
Jsoup,55b,1,0,0.0,2,True,True
Jsoup,56b,12,0,0.0,2,True,True
Jsoup,57b,1,1,1.0,3,False,False
Jsoup,58b,5,0,0.0,2,True,True
Jsoup,59b,1,0,0.0,3,True,True
Jsoup,60b,3,0,0.0,3,True,True
Jsoup,61b,1,0,0.0,3,True,True
Jsoup,62b,1,0,0.0,2,True,True
Jsoup,63b,13,0,0.0,24,True,True
Jsoup,64b,2,0,0.0,24,True,True
Jsoup,65b,4,0,0.0,26,True,True
Jsoup,66b,6,4,0.666667,27,True,False
Jsoup,67b,2,0,0.0,38,True,True
Jsoup,68b,4,0,0.0,4,True,True
Jsoup,69b,1,0,0.0,4,True,True
Jsoup,70b,2,0,0.0,4,True,True
Jsoup,71b,5,0,0.0,4,True,True
Jsoup,72b,1,0,0.0,5,True,True
Jsoup,73b,7,4,0.571429,1,True,False
Jsoup,74b,3,0,0.0,4,True,True
Jsoup,75b,1,1,1.0,5,False,False
Jsoup,76b,1,0,0.0,4,True,True
Jsoup,77b,1,0,0.0,4,True,True
Jsoup,78b,4,0,0.0,3,True,True
Jsoup,79b,3,0,0.0,4,True,True
Jsoup,80b,2,2,1.0,5,False,False
Jsoup,81b,2,1,0.5,3,True,False
Jsoup,82b,1,0,0.0,2,True,True
Jsoup,83b,4,0,0.0,4,True,True
Jsoup,84b,1,0,0.0,0,True,True
Jsoup,85b,2,0,0.0,4,True,True
Jsoup,86b,1,1,1.0,5,False,False
Jsoup,87b,59,0,0.0,4,True,True
Jsoup,88b,1,0,0.0,4,True,True
Jsoup,89b,2,0,0.0,5,True,True
Jsoup,90b,1,0,0.0,1,True,True
Jsoup,91b,6,0,0.0,7,True,True
Jsoup,92b,9,0,0.0,3,True,True
Jsoup,93b,1,0,0.0,3,True,True
