project,bug_id,full_execution_size,passing_TC_size,failing_TC_size,union_passing_slice,union_failing_slice,union_all_slice,all_reduction_ratio
JacksonXml,1b,1198,1194,395,120,107,124,0.896494
JacksonXml,2b,1167,1167,319,125,4,125,0.892888
JacksonXml,3b,1209,1206,153,121,60,125,0.896609
JacksonXml,4b,1233,1228,288,53,4,53,0.957015
JacksonXml,5b,1328,1328,333,0,54,54,0.959337
JacksonXml,6b,1334,1330,300,65,4,65,0.951274
Cli,1b,571,542,300,0,121,121,0.788091
Cli,2b,565,538,287,8,3,8,0.985841
Cli,3b,260,0,260,0,8,8,0.969231
Cli,4b,587,560,303,0,79,79,0.865417
Cli,5b,589,562,295,105,12,106,0.820034
Cli,7b,285,0,285,0,166,166,0.417544
Cli,8b,477,467,154,96,22,96,0.798742
Cli,9b,616,606,308,78,86,86,0.86039
Cli,10b,619,609,322,0,0,0,1.0
Cli,11b,491,479,167,0,0,0,1.0
Cli,12b,471,461,252,10,7,10,0.978769
Cli,13b,1395,1395,328,316,102,338,0.757706
Cli,14b,1271,1262,392,339,159,358,0.718332
Cli,15b,1223,1223,383,239,245,253,0.793132
Cli,16b,1465,1465,415,354,1,354,0.758362
Cli,17b,641,630,308,0,0,0,1.0
Cli,18b,643,631,299,0,0,0,1.0
Cli,19b,643,633,284,0,0,0,1.0
Cli,20b,642,632,297,0,0,0,1.0
Cli,21b,1422,1416,415,363,0,363,0.744726
Cli,22b,638,627,318,118,8,119,0.81348
Cli,23b,524,521,222,9,55,55,0.895038
Cli,24b,526,523,208,9,0,9,0.98289
Cli,25b,526,523,208,92,0,92,0.825095
Cli,26b,711,709,341,0,0,0,1.0
Cli,27b,576,572,201,0,0,0,1.0
Cli,28b,650,646,344,245,95,246,0.621538
Cli,29b,649,647,307,6,6,12,0.98151
Cli,30b,654,651,355,8,3,8,0.987768
Cli,31b,737,737,282,0,0,0,1.0
Cli,32b,553,549,25,0,10,10,0.981917
Cli,33b,551,551,75,0,0,0,1.0
Cli,34b,793,741,327,220,47,226,0.715006
Cli,35b,822,822,110,136,1,137,0.833333
Cli,36b,826,826,74,0,68,68,0.917676
Cli,37b,370,355,162,7,7,7,0.981081
Cli,38b,383,383,164,7,7,7,0.981723
