Project,BugID,Pass_TC,Fail_TC,Pass_Assert,Fail_Assert,Uncaught_Exception
JacksonXml,1b,131,6,373,3,0
JacksonXml,2b,107,3,401,1,0
JacksonXml,3b,135,4,383,1,0
JacksonXml,4b,137,4,394,1,0
JacksonXml,5b,162,6,454,0,1
JacksonXml,6b,174,11,481,0,5
Cli,1b,75,3,131,2,0
Cli,2b,67,3,132,1,1
Cli,3b,0,1,10,1,0
Cli,4b,82,4,135,3,0
Cli,5b,85,4,137,3,0
Cli,7b,0,1,1,1,0
Cli,8b,19,2,21,2,0
Cli,9b,86,4,140,2,0
Cli,10b,88,3,141,1,1
Cli,11b,23,2,27,2,0
Cli,12b,32,4,19,3,1
Cli,13b,291,3,540,1,0
Cli,14b,152,1,356,0,1
Cli,15b,224,4,401,2,0
Cli,16b,313,5,565,0,3
Cli,17b,96,3,163,1,0
Cli,18b,97,3,164,1,0
Cli,19b,98,3,164,1,1
Cli,20b,99,3,165,1,0
Cli,21b,299,3,543,0,1
Cli,22b,93,3,169,2,0
Cli,23b,32,4,40,2,2
Cli,24b,35,3,41,2,1
Cli,25b,35,3,41,3,0
Cli,26b,109,4,217,2,0
Cli,27b,91,2,50,2,0
Cli,28b,136,3,129,2,0
Cli,29b,134,3,119,2,0
Cli,30b,134,3,117,1,1
Cli,31b,174,2,204,1,0
Cli,32b,45,2,50,0,1
Cli,33b,47,1,51,1,0
Cli,34b,180,3,204,2,0
Cli,35b,167,2,159,0,1
Cli,36b,169,2,160,1,0
Cli,37b,6,1,8,0,0
Cli,38b,7,1,9,1,0
Cli,39b,16,2,38,0,0
Cli,40b,34,1,46,0,0
Jsoup,6b,8,1,29,0,1
Jsoup,7b,16,0,46,0,0
Jsoup,8b,16,0,46,0,0
Jsoup,9b,9,0,30,0,0
Jsoup,10b,16,0,46,0,0
Jsoup,11b,9,0,30,0,0
Jsoup,12b,9,0,30,0,0
Jsoup,13b,22,0,54,0,0
Jsoup,14b,10,0,32,0,0
Jsoup,15b,10,0,32,0,0
Jsoup,16b,12,1,32,0,0
Jsoup,17b,10,0,32,0,0
Jsoup,18b,10,0,32,0,0
Jsoup,20b,18,0,48,0,0
Jsoup,21b,17,2,43,0,0
Jsoup,22b,37,2,80,0,0
Jsoup,23b,18,2,48,0,0
Jsoup,24b,18,2,48,0,0
Jsoup,25b,21,2,48,0,0
Jsoup,27b,17,1,43,1,0
Jsoup,28b,21,2,49,0,0
Jsoup,29b,38,2,85,0,0
Jsoup,31b,18,2,49,0,0
Jsoup,32b,45,2,123,0,0
Jsoup,33b,40,2,92,0,0
Jsoup,34b,41,2,106,0,0
Jsoup,35b,40,2,92,0,0
Jsoup,36b,18,5,49,4,1
Jsoup,37b,75,2,160,0,0
Jsoup,38b,45,2,98,0,0
Jsoup,39b,23,0,55,0,0
Jsoup,40b,47,3,98,0,1
Jsoup,41b,98,3,208,1,0
Jsoup,42b,55,2,140,0,0
Jsoup,43b,112,2,257,0,0
Jsoup,44b,68,3,175,0,0
Jsoup,45b,70,2,176,0,0
Jsoup,46b,73,3,176,0,0
Jsoup,47b,74,2,176,0,0
Jsoup,49b,125,3,274,1,0
Jsoup,50b,44,1,111,1,0
Jsoup,51b,77,2,223,0,0
Jsoup,52b,75,8,189,6,0
Jsoup,53b,75,2,195,0,0
Jsoup,54b,3,1,16,0,0
Jsoup,55b,83,2,215,0,0
Jsoup,56b,86,2,215,0,0
Jsoup,57b,91,3,239,0,1
Jsoup,58b,89,2,229,0,0
Jsoup,59b,89,3,229,0,0
Jsoup,60b,84,3,228,0,0
Jsoup,61b,157,3,383,0,0
Jsoup,62b,92,2,232,0,0
Jsoup,63b,71,24,172,0,22
Jsoup,64b,71,24,172,0,22
Jsoup,65b,75,26,179,0,23
Jsoup,66b,87,27,222,1,23
Jsoup,67b,83,38,190,0,34
Jsoup,68b,119,4,293,0,0
Jsoup,69b,120,4,294,0,0
Jsoup,70b,127,4,330,0,0
Jsoup,71b,126,4,329,0,0
Jsoup,72b,129,5,357,0,0
Jsoup,73b,4,1,31,1,0
Jsoup,74b,120,4,315,0,0
Jsoup,75b,138,5,369,1,0
Jsoup,76b,134,4,336,0,0
Jsoup,77b,133,4,335,0,0
Jsoup,78b,71,3,202,0,1
Jsoup,79b,143,4,377,0,0
Jsoup,80b,136,5,341,0,1
Jsoup,81b,75,3,207,1,0
Jsoup,82b,76,2,208,0,0
Jsoup,83b,151,4,413,0,0
Jsoup,84b,5,0,37,0,0
Jsoup,85b,148,4,401,0,0
Jsoup,86b,142,5,366,0,1
Jsoup,87b,153,4,406,0,0
Jsoup,88b,151,4,404,0,0
Jsoup,89b,150,5,403,0,1
Jsoup,90b,17,1,51,0,0
Jsoup,91b,158,7,446,3,0
Jsoup,92b,166,3,439,0,0
Jsoup,93b,157,3,401,0,0
