virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,result
testLang457_NumberUtils_L528_F_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAIL
testCompareDouble_NumberUtils_L165_P_1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L166_P_2,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L167_P_3,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L168_P_4,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L169_P_5,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L170_P_6,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L171_P_7,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L172_P_8,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L173_P_9,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L175_P_10,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L176_P_11,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L177_P_12,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareDouble_NumberUtils_L178_P_13,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
