Slice:
---------------------
(com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:75)  specialinvoke this.<com.fasterxml.jackson.databind.module.SimpleModule: void setupModule(com.fasterxml.jackson.databind.Module$SetupContext)>(context) <---- com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:65
(com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:65)  $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>() <---- com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:126
(com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:126)  specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2) <---- com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector:34
(com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector:34)  specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:88
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:88)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1 <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:95)  $stack8 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:14
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:95)  $stack8 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:95)  specialinvoke $stack8.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:95)  specialinvoke $stack8.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:14
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:14)  specialinvoke this.<java.lang.Object: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15)  $stack1 = new java.util.ArrayList <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15)  specialinvoke $stack1.<java.util.ArrayList: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents: java.util.List parent> = $stack1 <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:105
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents:15)  this.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parents: java.util.List parent> = $stack1 <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  $stack9 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:97
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  $stack9 = new com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:30
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  specialinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("a", "First") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:26
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  specialinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("a", "First") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:33
(com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest:96)  specialinvoke $stack9.<com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent: void <init>(java.lang.String,java.lang.String)>("a", "First") <---- com.fasterxml.jackson.dataformat.xml.lists.ListRoundtripTest$Parent:30
