Slice:
---------------------
(com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector:189)  specialinvoke $stack1.<com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder:22
(com.fasterxml.jackson.dataformat.xml.XmlTypeResolverBuilder:22)  specialinvoke this.<com.fasterxml.jackson.databind.jsontype.impl.StdTypeResolverBuilder: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company:16
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company:16)  $stack1 = new java.util.ArrayList <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company:16
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company:16)  specialinvoke $stack1.<java.util.ArrayList: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company:16
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company:16)  this.<com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company: java.util.List computers> = $stack1 <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80)  $stack23 = result.<com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Company: java.util.List computers> <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80)  $stack24 = interfaceinvoke $stack23.<java.util.List: java.lang.Object get(int)>(1) <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80)  comp = (com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Computer) $stack24 <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:83
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:80)  comp = (com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$Computer) $stack24 <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:81
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:81)  staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test: void assertNotNull(java.lang.Object)>(comp) <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:83
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:83)  dt = (com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$DesktopComputer) comp <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:84
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:84)  $stack27 = dt.<com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test$DesktopComputer: java.lang.String location> <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:84
(com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:84)  staticinvoke <com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test: void assertEquals(java.lang.String,java.lang.String)>("http://bar.com", $stack27) <---- com.fasterxml.jackson.dataformat.xml.lists.DeserializePolyList178Test:84
