Project,BugID,Baseline_Time_(s),SBFL_Time_(s),Hybrid_Time_(s),Avg_Slice_Time_(s),Peak_Memory_(KB)
Chart,6b,18.193,4100.28,6409.195,114.132,1195320.0
Chart,7b,18.795,140.204,4156.969,110.529,1156000.0
Chart,8b,19.571,193.615,4539.094,113.123,1185888.0
Chart,9b,19.685,538.887,874.321,109.715,1131800.0
Chart,10b,18.882,14.47,246.007,112.689,1141928.0
Chart,5b,18.935,2495.926,17718.215,120.67,1190144.0
Chart,3b,21.115,744.334,21548.14,128.955,1240956.0
Chart,1b,20.858,3772.536,27059.377,141.582,1233220.0
Chart,4b,19.787,3690.247,27683.664,184.436,1210772.0
Chart,12b,20.376,1635.653,10050.003,136.498,1209480.0
Chart,11b,20.27,4438.45,11645.418,107.988,1184380.0
Chart,16b,18.27,210.879,3220.154,113.937,1251052.0
Chart,17b,17.989,501.822,3059.834,111.124,1169208.0
Chart,15b,17.823,1684.243,6417.353,156.558,1102512.0
Chart,14b,18.236,4388.114,12953.291,134.882,1198316.0
Chart,13b,18.779,1634.982,20665.981,113.151,1195044.0
Chart,19b,19.011,3062.441,11098.295,145.04,1246372.0
Chart,21b,18.441,143.957,3054.897,102.706,1122644.0
Chart,24b,18.335,126.907,375.418,109.09,1059240.0
Chart,25b,17.886,82.057,781.185,135.753,1098048.0
Chart,23b,17.386,46.89,1566.883,107.603,1114216.0
Chart,20b,18.681,2462.191,10854.73,104.897,1123872.0
Chart,22b,18.952,423.39,4404.968,99.644,1113252.0
Gson,3b,6.683,3453.766,5496.07,23.441,703052.0
Chart,18b,18.332,2642.752,23147.872,110.09,1245552.0
Gson,5b,6.803,45.987,111.094,24.962,689324.0
Gson,1b,5.132,2222.536,9834.479,18.135,683684.0
Chart,2b,21.238,4786.372,55736.533,129.028,1313544.0
Chart,26b,17.585,4450.136,13306.482,143.963,1156928.0
Gson,8b,7.022,2309.363,2982.212,25.989,674536.0
Gson,2b,6.789,3780.084,18659.821,22.171,704704.0
Gson,9b,7.251,4106.644,5543.784,24.747,694276.0
Gson,12b,7.287,4013.339,5229.329,25.367,672868.0
Gson,11b,7.743,3984.007,6047.201,22.997,712988.0
Gson,14b,7.523,39.843,54.833,0.047,362316.0
Gson,6b,7.306,3576.858,19652.474,23.153,711820.0
Gson,16b,7.641,48.631,64.561,0.0,314724.0
Gson,15b,7.916,4242.712,5653.931,27.007,686752.0
