Project,BugID,Total_Fault_Lines,Unanswerable_Fault_Lines,Bug_Fully_Unanswerable
Chart,6b,1,0,False
Chart,7b,2,0,False
Chart,8b,1,0,False
Chart,9b,1,0,False
Chart,10b,1,0,False
Chart,5b,2,1,False
Chart,3b,1,0,False
Chart,1b,1,0,False
Chart,4b,2,0,False
Chart,12b,1,0,False
Chart,11b,1,0,False
Chart,16b,3,0,False
Chart,17b,1,0,False
Chart,15b,3,0,False
Chart,14b,4,0,False
Chart,13b,1,0,False
Chart,19b,2,0,False
Chart,21b,4,3,False
Chart,24b,1,0,False
Chart,25b,6,4,False
Chart,23b,1,1,True
Chart,20b,1,0,False
Chart,22b,7,3,False
Gson,3b,2,1,False
Chart,18b,6,0,False
Gson,5b,1,0,False
Gson,1b,8,4,False
Chart,2b,8,0,False
Chart,26b,2,0,False
Gson,8b,5,4,False
Gson,2b,2,1,False
Gson,9b,6,2,False
Gson,12b,4,1,False
Gson,11b,1,0,False
Gson,14b,4,0,False
Gson,6b,2,0,False
Gson,16b,2,0,False
Gson,15b,1,0,False
Gson,18b,2,1,False
JacksonCore,1b,7,4,False
Gson,17b,2,0,False
Gson,10b,2,0,False
JacksonCore,2b,13,7,False
JacksonCore,4b,2,1,False
JacksonCore,3b,2,1,False
JacksonCore,5b,1,0,False
JacksonCore,7b,1,0,False
JacksonCore,6b,2,0,False
JacksonCore,8b,1,0,False
JacksonCore,9b,6,3,False
JacksonCore,11b,1,0,False
Gson,4b,19,0,False
JacksonCore,13b,1,1,True
JacksonCore,15b,3,3,True
JacksonCore,16b,9,1,False
JacksonCore,17b,7,3,False
JacksonCore,14b,3,0,False
JacksonCore,12b,16,2,False
JacksonCore,18b,11,2,False
JacksonCore,19b,2,0,False
JacksonCore,20b,1,0,False
JacksonCore,21b,2,0,False
JacksonCore,22b,10,1,False
JacksonCore,23b,1,0,False
Gson,7b,4,0,False
JxPath,1b,2,0,False
JacksonCore,26b,1,0,False
JxPath,2b,4,1,False
JxPath,3b,4,2,False
JxPath,4b,32,2,False
JxPath,5b,3,0,False
JxPath,6b,2,0,False
JxPath,7b,34,10,False
JxPath,8b,2,0,False
Gson,13b,1,0,False
JxPath,11b,6,2,False
JxPath,10b,1,0,False
JxPath,9b,30,4,False
JxPath,12b,1,0,False
JxPath,13b,32,7,False
JxPath,14b,3,0,False
JxPath,17b,14,0,False
JxPath,15b,5,2,False
JxPath,16b,3,0,False
JxPath,20b,2,1,False
JxPath,18b,8,3,False
JxPath,19b,8,2,False
JxPath,21b,1,0,False
JxPath,22b,3,0,False
Lang,4b,4,0,False
Lang,5b,2,1,False
Lang,6b,1,0,False
JacksonCore,10b,2,0,False
Lang,8b,3,0,False
Lang,9b,1,0,False
Lang,10b,9,0,False
Lang,11b,1,0,False
Lang,12b,3,1,False
Lang,3b,4,0,False
Lang,13b,4,3,False
Lang,1b,3,0,False
Lang,15b,4,0,False
Lang,17b,10,0,False
Lang,18b,3,0,False
Lang,19b,5,0,False
JacksonCore,25b,1,0,False
Lang,21b,1,0,False
Lang,7b,5,1,False
Lang,23b,3,3,True
Lang,24b,1,0,False
Lang,16b,1,0,False
Lang,25b,27,0,False
Lang,26b,1,0,False
Lang,28b,2,0,False
Lang,27b,2,0,False
JacksonCore,24b,10,2,False
Lang,29b,1,0,False
Lang,32b,9,0,False
