project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice,unanswerable_reason,nearest_line_diff_trace,diff_best_trace,diff_tie_trace,diff_reason_trace,nearest_line_diff_slice,diff_best_slice,diff_tie_slice,diff_reason_slice
Chart,6b,ShapeList.java,111,54,3,None,None,,0,already_found,already_found,succeed,-3,1,2,succeed
Chart,7b,TimePeriodValues.java	(revision 1086),299,None,None,None,None,live_line_never_executed,None,None,None,project_test_scenario,None,None,None,project_test_scenario
Chart,7b,TimePeriodValues.java	(revision 1086),301,None,None,None,None,live_line_never_executed,None,None,None,project_test_scenario,None,None,None,project_test_scenario
Chart,8b,Week.java,175,1,14,1,10,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,9b,TimeSeries.java,944,1,16,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Chart,10b,StandardToolTipTagFragmentGenerator.java,65,1,2,None,None,,0,already_found,already_found,succeed,-11,1,1,succeed
Chart,5b,XYSeries.java,544,None,None,None,None,dead_code_never_executed,2,5,6,succeed,2,1,2,succeed
Chart,5b,XYSeries.java,548,5,6,6,3,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,3b,TimeSeries.java,1057,1,10,1,13,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,1b,AbstractCategoryItemRenderer.java,1797,25,7,1,15,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,4b,XYPlot.java,4472,178,20,None,None,,0,already_found,already_found,succeed,57,214,79,succeed
Chart,4b,XYPlot.java,4493,145,5,None,None,,0,already_found,already_found,succeed,36,214,79,succeed
Chart,12b,MultiplePiePlot.java,145,5,22,3,715,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,11b,ShapeUtilities.java,275,1,18,1,18,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,16b,DefaultIntervalCategoryDataset.java,207,1,2,7,3,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,16b,DefaultIntervalCategoryDataset.java,208,1,2,7,3,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,16b,DefaultIntervalCategoryDataset.java,338,27,4,7,3,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,17b,TimeSeries.java,857,2,1,None,None,,0,already_found,already_found,succeed,104,1,67,succeed
Chart,15b,PiePlot.java,1378,996,10206,None,None,,0,already_found,already_found,succeed,673,1,9,succeed
Chart,15b,PiePlot.java,2051,26,11,1,9,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Chart,15b,PiePlot.java,2053,996,10206,None,None,,0,already_found,already_found,succeed,-2,1,9,succeed
Chart,14b,CategoryPlot.java,2166,1,26,None,None,,0,already_found,already_found,succeed,34,47,556,succeed
Chart,14b,CategoryPlot.java,2448,1,26,None,None,,0,already_found,already_found,succeed,-189,47,556,succeed
Chart,14b,XYPlot.java,2293,1,26,None,None,,0,already_found,already_found,succeed,-838,47,556,succeed
Chart,14b,XYPlot.java,2529,1,26,None,None,,0,already_found,already_found,succeed,-1074,47,556,succeed
