project,bug_id,full_execution_size,passing_TC_size,failing_TC_size,union_passing_slice,union_failing_slice,union_all_slice,all_reduction_ratio
Chart,6b,13455,13441,115,13,12,13,0.999034
Chart,7b,396,396,101,68,68,71,0.820707
Chart,8b,95,95,44,52,33,52,0.452632
Chart,9b,6456,6456,169,0,2,2,0.99969
Chart,10b,2,0,2,0,1,1,0.5
Chart,5b,9294,9294,43,59,30,59,0.993652
Chart,3b,7320,7320,120,220,92,233,0.968169
Chart,1b,15150,15149,546,764,195,833,0.945017
Chart,4b,15206,15107,2088,860,356,1034,0.932001
Chart,12b,11238,11237,453,598,237,717,0.936199
Chart,11b,16260,16260,19,57,18,57,0.996494
Chart,16b,3369,3366,41,64,15,65,0.980706
Chart,17b,6375,6375,83,67,0,67,0.98949
Chart,15b,11201,11199,995,0,9,9,0.999197
Chart,14b,14792,14766,456,572,46,602,0.959302
Chart,13b,11808,11742,243,128,56,144,0.987805
Chart,19b,13155,13149,657,533,280,586,0.955454
Chart,21b,3942,3937,112,47,4,48,0.987823
Chart,24b,1202,1198,9,0,6,6,0.995008
Chart,25b,3503,3306,3078,0,362,362,0.89666
Chart,23b,3194,3187,256,5,29,30,0.990607
Chart,20b,12816,12816,69,67,35,69,0.994616
Chart,22b,4542,4514,101,48,36,63,0.986129
Gson,3b,2615,2615,537,183,47,205,0.921606
Chart,18b,10880,10865,73,194,41,196,0.981985
Gson,5b,130,95,124,0,12,12,0.907692
Gson,1b,1816,1815,423,13,1,13,0.992841
Chart,2b,16684,16631,136,1166,9,1167,0.930053
Chart,26b,14297,13915,5128,229,147,367,0.97433
Gson,8b,2374,2374,8,0,1,1,0.999579
Gson,2b,2656,2656,342,365,1,365,0.862575
Gson,9b,2753,2753,232,51,0,51,0.981475
Gson,12b,2803,2802,348,0,22,22,0.992151
Gson,11b,2796,2796,328,156,1,157,0.943848
Gson,14b,560,0,560,0,0,0,1.0
Gson,6b,2672,2672,395,369,179,369,0.861901
Gson,16b,559,559,410,0,0,0,1.0
Gson,15b,2938,2938,216,51,19,51,0.982641
Gson,18b,1307,1257,801,0,0,0,1.0
JacksonCore,1b,4992,4989,409,0,0,0,1.0
Gson,17b,2719,2718,105,208,6,213,0.921662
Gson,10b,2698,2698,526,188,4,188,0.930319
JacksonCore,2b,5302,5302,548,0,0,0,1.0
JacksonCore,4b,5523,5523,40,0,30,30,0.994568
JacksonCore,3b,4575,4575,416,361,232,364,0.920437
JacksonCore,5b,77,76,42,29,0,29,0.623377
JacksonCore,7b,4649,4649,427,0,7,7,0.998494
JacksonCore,6b,76,76,45,39,29,47,0.381579
JacksonCore,8b,6024,6024,21,132,17,142,0.976428
JacksonCore,9b,6373,6365,728,0,95,95,0.985093
JacksonCore,11b,7226,7218,696,0,0,0,1.0
Gson,4b,2842,2841,273,557,22,565,0.801196
JacksonCore,13b,7049,7044,557,0,7,7,0.999007
JacksonCore,15b,1247,1247,865,7,0,7,0.994387
JacksonCore,16b,542,485,517,206,220,237,0.562731
JacksonCore,17b,7075,7071,374,0,0,0,1.0
JacksonCore,14b,7143,7142,26,258,20,258,0.963881
JacksonCore,12b,7031,7031,441,488,217,512,0.92718
JacksonCore,18b,7136,7129,366,0,1,1,0.99986
JacksonCore,19b,7124,7124,410,0,119,119,0.983296
JacksonCore,20b,8781,8779,328,103,94,114,0.987017
JacksonCore,21b,1268,1231,963,0,427,427,0.663249
JacksonCore,22b,1345,1234,1184,446,544,555,0.587361
JacksonCore,23b,11067,11066,524,0,0,0,1.0
Gson,7b,2815,2815,550,645,86,645,0.77087
JxPath,1b,5470,5398,1695,0,75,75,0.986289
JacksonCore,26b,11137,11137,594,432,168,489,0.956092
JxPath,2b,5484,5467,1976,0,77,77,0.985959
JxPath,3b,5460,5456,1048,0,0,0,1.0
JxPath,4b,5391,5391,1540,0,0,0,1.0
JxPath,5b,5447,5412,1413,0,7,7,0.998715
JxPath,6b,5521,5521,960,0,0,0,1.0
JxPath,7b,4006,3992,746,0,0,0,1.0
JxPath,8b,4025,4015,844,0,0,0,1.0
