Project,BugID,Pass_TC,Fail_TC,Pass_Assert,Fail_Assert,Uncaught_Exception
Chart,6b,484,4,1720,2,0
Chart,7b,15,1,62,1,0
Chart,8b,22,1,46,1,0
Chart,9b,63,2,351,0,1
Chart,10b,0,1,1,0,0
Chart,5b,291,3,1083,0,1
Chart,3b,85,2,458,1,0
Chart,1b,435,3,1802,1,0
Chart,4b,409,24,1694,0,7
Chart,12b,200,3,797,1,0
Chart,11b,542,2,2296,1,0
Chart,16b,17,8,44,7,1
Chart,17b,59,2,336,0,1
Chart,15b,198,3,829,1,0
Chart,14b,515,6,1958,4,0
Chart,13b,194,2,623,0,0
Chart,19b,364,4,1414,2,0
Chart,21b,16,1,59,1,0
Chart,24b,14,1,61,0,0
Chart,25b,5,4,10,4,0
Chart,23b,4,1,8,1,0
Chart,20b,295,3,1205,1,0
Chart,22b,45,6,141,3,2
Gson,3b,663,3,1036,0,2
Chart,18b,323,5,1178,2,2
Gson,5b,8,1,2,0,1
Gson,1b,448,1,696,0,1
Chart,2b,553,4,2091,2,0
Chart,26b,521,24,2309,22,0
Gson,8b,438,2,686,2,0
Gson,2b,725,2,1167,0,1
Gson,9b,786,2,1267,0,1
Gson,12b,760,3,1270,0,2
Gson,11b,758,2,1265,0,1
Gson,14b,0,7,0,4,0
Gson,6b,680,3,1094,0,2
Gson,16b,7,2,7,0,0
Gson,15b,815,2,1304,0,1
Gson,18b,28,1,64,0,1
JacksonCore,1b,169,1,519,0,1
Gson,17b,586,2,908,1,1
Gson,10b,687,2,1110,1,0
JacksonCore,2b,182,2,526,0,2
JacksonCore,4b,198,1,570,0,1
JacksonCore,3b,138,1,354,1,0
JacksonCore,5b,3,1,42,0,1
JacksonCore,7b,115,2,332,0,2
JacksonCore,6b,4,1,44,1,0
JacksonCore,8b,212,1,605,1,0
JacksonCore,9b,244,2,669,0,2
JacksonCore,11b,296,1,767,0,1
Gson,4b,906,4,1593,1,2
JacksonCore,13b,310,1,821,0,1
JacksonCore,15b,13,1,11,1,0
JacksonCore,16b,1,1,19,1,0
JacksonCore,17b,317,1,828,0,1
JacksonCore,14b,310,1,836,0,0
JacksonCore,12b,304,1,790,1,0
JacksonCore,18b,321,1,828,0,1
JacksonCore,19b,317,1,821,0,1
JacksonCore,20b,382,2,857,0,2
JacksonCore,21b,13,3,32,2,0
JacksonCore,22b,8,12,37,12,0
JacksonCore,23b,544,10,1234,0,1
