test_case,result,assertion_source_lines,dynamic_pass_asserts,dynamic_fail_asserts,trace_source
org.apache.commons.csv.CSVFileParserTest::testCSVFile,FAIL,4,0,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testCSVFile_readTestData_L124_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testSurroundingSpacesAreDeleted,PASS,7,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testSurroundingSpacesAreDeleted_parser_L69_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testSurroundingTabsAreDeleted,PASS,7,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testSurroundingTabsAreDeleted_parser_L82_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testIgnoreEmptyLines,PASS,10,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testIgnoreEmptyLines_parser_L113_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testComments,PASS,14,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testComments_parser_L141_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testCommentsAndEmptyLines,PASS,24,7,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testCommentsAndEmptyLines_parser_L189_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testBackslashWithoutEscaping,PASS,8,7,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testBackslashWithoutEscaping_parser_L212_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testBackslashWithEscaping,PASS,8,7,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testBackslashWithEscaping_parser_L232_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testNextToken4,PASS,12,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testNextToken4_parser_L257_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testNextToken5,PASS,5,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testNextToken5_parser_L269_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testNextToken6,PASS,2,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testNextToken6_parser_L285_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testDelimiterIsWhitespace,PASS,6,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testDelimiterIsWhitespace_parser_L298_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedCR,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedCR_lexer_L304_P_1/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedLF,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedLF_lexer_L310_P_2/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedTab,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedTab_lexer_L316_P_3/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapeBackspace,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapeBackspace_lexer_L322_P_4/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapeFF,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapeFF_lexer_L328_P_5/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedMySqlNullValue,FAIL,1,4,1,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_failing/testEscapedMySqlNullValue_lexer_L335_F_1/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedCharacter,FAIL,1,4,1,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_failing/testEscapedCharacter_lexer_L341_F_2/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedControlCharacter,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedControlCharacter_lexer_L348_P_6/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapedControlCharacter2,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedControlCharacter2_lexer_L354_P_7/trace.log_icdg.log
org.apache.commons.csv.CSVLexerTest::testEscapingAtEOF,PASS,0,0,0,
org.apache.commons.csv.CSVParserTest::testGetLine,PASS,2,14,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testGetLine_parser_L79_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testGetRecords,PASS,3,35,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testGetRecords_records_L86_P_8/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testExcelFormat1,PASS,3,35,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat1_records_L107_P_11/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testExcelFormat2,PASS,3,35,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat2_records_L126_P_14/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,PASS,3,200,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviourExcel_records_L154_P_17/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,PASS,3,160,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviorCSV_records_L181_P_20/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,PASS,3,100,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourExcel_records_L205_P_23/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,PASS,3,60,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourCSV_records_L227_P_26/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testEmptyFile,PASS,1,2,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testEmptyFile_parser_L238_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testCSV57,PASS,2,4,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testCSV57_list_L246_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testBackslashEscapingOld,PASS,3,0,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_assert_trace_only/testBackslashEscapingOld_records_L278_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testBackslashEscaping,FAIL,1,4,1,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_failing/testBackslashEscaping_records_L320_F_3/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testBackslashEscaping2_records_L349_P_32/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testDefaultFormat,PASS,2,7,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testDefaultFormat_records_L374_P_33/trace.log_icdg.log
