test_case,result,assertx_calls_found,assertx_calls_counted
org.apache.commons.math.ode.JacobianMatricesTest::testLowAccuracyExternalDifferentiation,PASS,4,4
org.apache.commons.math.ode.JacobianMatricesTest::testHighAccuracyExternalDifferentiation,PASS,8,8
org.apache.commons.math.ode.JacobianMatricesTest::testInternalDifferentiation,PASS,8,8
org.apache.commons.math.ode.JacobianMatricesTest::testAnalyticalDifferentiation,PASS,7,7
org.apache.commons.math.ode.JacobianMatricesTest::testFinalResult,PASS,5,5
org.apache.commons.math.ode.JacobianMatricesTest::testParameterizable,PASS,4,4
org.apache.commons.math.stat.CertifiedDataTest::testSummaryStatistics,PASS,10,10
org.apache.commons.math.stat.CertifiedDataTest::testDescriptiveStatistics,PASS,10,10
org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest::testAggregation,PASS,9,1
org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest::testAggregationConsistency,PASS,1,1
org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest::testAggregate,PASS,1,1
org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest::testAggregateDegenerate,PASS,1,1
org.apache.commons.math.stat.descriptive.AggregateSummaryStatisticsTest::testAggregateSpecialValues,PASS,1,1
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testSetterInjection,PASS,2,2
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testCopy,PASS,2,2
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testWindowSize,PASS,5,5
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testGetValues,PASS,4,4
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testToString,PASS,1,1
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testShuffledStatistics,PASS,9,9
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testPercentileSetter,PASS,3,3
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::test20090720,PASS,1,1
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testRemoval,PASS,0,0
org.apache.commons.math.stat.descriptive.DescriptiveStatisticsTest::testSummaryConsistency,PASS,17,17
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testStats,PASS,11,9
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testN0andN1Conditions,PASS,9,0
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testProductAndGeometricMean,PASS,1,0
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testNaNContracts,PASS,10,0
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testGetSummary,PASS,0,0
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testSerialization,PASS,0,0
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testEqualsAndHashCode,PASS,16,4
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testCopy,PASS,14,14
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testSetterInjection,PASS,4,4
org.apache.commons.math.stat.descriptive.SummaryStatisticsTest::testSetterIllegalState,PASS,0,0
org.apache.commons.math.stat.inference.TTestTest::testOneSampleT,PASS,4,0
org.apache.commons.math.stat.inference.TTestTest::testOneSampleTTest,PASS,8,0
org.apache.commons.math.stat.inference.TTestTest::testTwoSampleTHeterscedastic,PASS,8,0
org.apache.commons.math.stat.inference.TTestTest::testTwoSampleTHomoscedastic,PASS,4,0
org.apache.commons.math.stat.inference.TTestTest::testSmallSamples,PASS,2,2
org.apache.commons.math.stat.inference.TTestTest::testPaired,PASS,5,5
org.apache.commons.math.stat.inference.TestUtilsTest::testChiSquare,PASS,6,0
org.apache.commons.math.stat.inference.TestUtilsTest::testChiSquareIndependence,PASS,7,0
org.apache.commons.math.stat.inference.TestUtilsTest::testChiSquareLargeTestStatistic,PASS,2,0
org.apache.commons.math.stat.inference.TestUtilsTest::testChiSquareZeroCount,PASS,2,0
org.apache.commons.math.stat.inference.TestUtilsTest::testOneSampleT,PASS,4,0
org.apache.commons.math.stat.inference.TestUtilsTest::testOneSampleTTest,PASS,8,0
org.apache.commons.math.stat.inference.TestUtilsTest::testTwoSampleTHeterscedastic,PASS,8,0
org.apache.commons.math.stat.inference.TestUtilsTest::testTwoSampleTHomoscedastic,PASS,4,0
org.apache.commons.math.stat.inference.TestUtilsTest::testSmallSamples,PASS,2,2
org.apache.commons.math.stat.inference.TestUtilsTest::testPaired,PASS,5,5
org.apache.commons.math.stat.inference.TestUtilsTest::testOneWayAnovaUtils,PASS,3,3
