file,line,approx,answerable,reason
src/java/org/apache/commons/cli/PosixParser.java,41,True,False,dead_code_never_executed
src/java/org/apache/commons/cli/PosixParser.java,116,False,False,live_line_never_executed
src/java/org/apache/commons/cli/PosixParser.java,120,True,True,
src/java/org/apache/commons/cli/PosixParser.java,146,False,True,
src/java/org/apache/commons/cli/PosixParser.java,147,False,True,
src/java/org/apache/commons/cli/PosixParser.java,148,False,True,
src/java/org/apache/commons/cli/PosixParser.java,149,False,False,live_line_never_executed
src/java/org/apache/commons/cli/PosixParser.java,152,False,True,
src/java/org/apache/commons/cli/PosixParser.java,184,False,False,live_line_never_executed
src/java/org/apache/commons/cli/PosixParser.java,186,True,True,
src/java/org/apache/commons/cli/PosixParser.java,188,True,False,dead_code_never_executed
src/java/org/apache/commons/cli/PosixParser.java,211,True,False,dead_code_never_executed
src/java/org/apache/commons/cli/PosixParser.java,243,False,False,live_line_never_executed
src/java/org/apache/commons/cli/PosixParser.java,262,False,True,
