file,line,approx,answerable
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,19,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,20,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,33,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,34,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,35,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThan.java,36,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,19,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,20,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,34,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,35,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,36,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationGreaterThanOrEqual.java,37,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,19,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,20,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,33,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,34,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,35,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThan.java,36,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,19,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,20,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,34,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,35,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,36,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationLessThanOrEqual.java,37,False,True
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,19,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,20,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,33,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,42,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,43,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,44,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,45,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,46,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,47,True,False
src/java/org/apache/commons/jxpath/ri/compiler/CoreOperationRelationalExpression.java,48,True,False
