statement_id,file,line,code
S1,BeanPointer.java,46,"super(null, locale);"
S2,BeanPointer.java,47,this.name = name;
S3,BeanPointer.java,48,this.bean = bean;
S4,BeanPointer.java,49,this.beanInfo = beanInfo;
S5,BeanPointerFactory.java,33,public class BeanPointerFactory implements NodePointerFactory {
S6,BeanPointerFactory.java,46,JXPathBeanInfo bi = JXPathIntrospector.getBeanInfo(bean.getClass());
S7,BeanPointerFactory.java,47,"return new BeanPointer(name, bean, bi, locale);"
S8,CollectionPointerFactory.java,32,public class CollectionPointerFactory implements NodePointerFactory {
S9,ContainerPointerFactory.java,32,public class ContainerPointerFactory implements NodePointerFactory {
S10,DynamicPointerFactory.java,36,public class DynamicPointerFactory implements NodePointerFactory {
S11,JXPathContext.java,403,"return getContextFactory().newContext(null, contextBean);"
S12,JXPathContext.java,422,if (contextFactory == null) {
S13,JXPathContext.java,423,contextFactory = JXPathContextFactory.newInstance();
S14,JXPathContext.java,425,return contextFactory;
S15,JXPathContext.java,433,this.parentContext = parentContext;
S16,JXPathContext.java,543,if (locale == null) {
S17,JXPathContext.java,544,if (parentContext != null) {
S18,JXPathContext.java,548,locale = Locale.getDefault();
S19,JXPathContext.java,551,return locale;
S20,JXPathContextFactory.java,56,private static String factoryImplName = null;
S21,JXPathContextFactory.java,98,if (factoryImplName == null) {
S22,JXPathContextFactory.java,99,factoryImplName =
S23,JXPathContextFactory.java,105,Class clazz = Class.forName(factoryImplName);
S24,JXPathContextFactory.java,106,factoryImpl = (JXPathContextFactory) clazz.newInstance();
S25,JXPathContextFactory.java,117,return factoryImpl;
S26,JXPathContextFactory.java,240,return defaultFactory;
S27,JXPathContextFactoryReferenceImpl.java,39,"return new JXPathContextReferenceImpl(parentContext, contextBean);"
S28,JXPathContextReferenceImpl.java,75,private static Vector nodeFactories = new Vector();
S29,JXPathContextReferenceImpl.java,76,private static NodePointerFactory nodeFactoryArray[] = null;
S30,JXPathContextReferenceImpl.java,78,nodeFactories.add(new CollectionPointerFactory());
S31,JXPathContextReferenceImpl.java,79,nodeFactories.add(new BeanPointerFactory());
S32,JXPathContextReferenceImpl.java,80,nodeFactories.add(new DynamicPointerFactory());
S33,JXPathContextReferenceImpl.java,83,Object domFactory = allocateConditionally(
S34,JXPathContextReferenceImpl.java,86,if (domFactory != null) {
S35,JXPathContextReferenceImpl.java,87,nodeFactories.add(domFactory);
S36,JXPathContextReferenceImpl.java,91,Object jdomFactory = allocateConditionally(
S37,JXPathContextReferenceImpl.java,94,if (jdomFactory != null) {
S38,JXPathContextReferenceImpl.java,95,nodeFactories.add(jdomFactory);
S39,JXPathContextReferenceImpl.java,99,Object dynaBeanFactory =
S40,JXPathContextReferenceImpl.java,104,if (dynaBeanFactory != null) {
S41,JXPathContextReferenceImpl.java,105,nodeFactories.add(dynaBeanFactory);
S42,JXPathContextReferenceImpl.java,108,nodeFactories.add(new ContainerPointerFactory());
S43,JXPathContextReferenceImpl.java,109,createNodeFactoryArray();
S44,JXPathContextReferenceImpl.java,124,"this(parentContext, contextBean, null);"
S45,JXPathContextReferenceImpl.java,132,"super(parentContext, contextBean);"
S46,JXPathContextReferenceImpl.java,138,if (contextPointer != null) {
S47,JXPathContextReferenceImpl.java,147,this.contextPointer =
S48,JXPathContextReferenceImpl.java,152,this.rootPointer = this.contextPointer;
S49,JXPathContextReferenceImpl.java,155,NamespaceResolver parentNR = null;
S50,JXPathContextReferenceImpl.java,159,namespaceResolver = new NamespaceResolver(parentNR);
S51,JXPathContextReferenceImpl.java,165,if (nodeFactoryArray == null) {
S52,JXPathContextReferenceImpl.java,166,nodeFactoryArray =
S53,JXPathContextReferenceImpl.java,192,return nodeFactoryArray;
S54,JXPathContextReferenceImpl.java,722,Class cls = Class.forName(className);
S55,JXPathContextReferenceImpl.java,723,return cls.newInstance();
S56,JXPathIntrospector.java,32,private static HashMap byClass = new HashMap();
S57,JXPathIntrospector.java,102,JXPathBeanInfo beanInfo = (JXPathBeanInfo) byClass.get(beanClass);
S58,JXPathIntrospector.java,113,return beanInfo;
S59,NamespaceResolver.java,36,protected HashMap namespaceMap = new HashMap();
S60,NamespaceResolver.java,42,public NamespaceResolver(NamespaceResolver parent) {
S61,NamespaceResolver.java,43,this.parent = parent;
S62,NodePointer.java,45,protected int index = WHOLE_COLLECTION;
S63,NodePointer.java,47,private boolean attribute = false;
S64,NodePointer.java,61,if (bean == null) {
S65,NodePointer.java,66,NodePointerFactory[] factories =
S66,NodePointer.java,68,for (int i = 0; i < factories.length; i++) {
S67,NodePointer.java,69,"pointer = factories[i].createNodePointer(name, bean, locale);"
S68,NodePointer.java,71,return pointer;
S69,NodePointer.java,110,"protected NodePointer(NodePointer parent, Locale locale) {"
S70,NodePointer.java,111,this.parent = parent;
S71,NodePointer.java,112,this.locale = locale;
S72,PropertyOwnerPointer.java,85,"super(parent, locale);"
S73,PropertyOwnerPointer.java,99,private static final Object UNINITIALIZED = new Object();
S74,PropertyOwnerPointer.java,101,private Object value = UNINITIALIZED;
S75,QName.java,43,"public QName(String prefix, String localName) {"
S76,QName.java,44,this.prefix = prefix;
S77,QName.java,45,this.name = localName;
