virtual_test_id,S1,S2,result
testMySqlNullOutput_writer_L331_F_1,0,0,FAIL
testMySqlNullStringDefault_CSVFormat_L319_F_2,0,1,FAIL
testSerialization_CSVFormat_L324_P_1,1,0,PASS
testSerialization_CSVFormat_L325_P_2,1,0,PASS
testSerialization_CSVFormat_L326_P_3,1,0,PASS
testSerialization_CSVFormat_L327_P_4,1,0,PASS
testSerialization_CSVFormat_L328_P_5,1,0,PASS
testSerialization_CSVFormat_L329_P_6,1,0,PASS
testSerialization_CSVFormat_L330_P_7,1,0,PASS
testWithIgnoreEmptyLines_CSVFormat_L407_P_8,1,0,PASS
testWithIgnoreEmptyLines_CSVFormat_L408_P_9,1,0,PASS
testWithIgnoreSurround_CSVFormat_L413_P_10,1,0,PASS
testWithIgnoreSurround_CSVFormat_L414_P_11,1,0,PASS
