statement_id,file,line,code
S1,Caverphone.java,41,super();
S2,Caverphone.java,54,if( txt == null || txt.length() == 0 ) {
S3,Caverphone.java,59,txt = txt.toLowerCase(java.util.Locale.ENGLISH);
S4,Caverphone.java,62,"txt = txt.replaceAll(""[^a-z]"", """");"
S5,Caverphone.java,65,"txt = txt.replaceAll(""e$"", """");             // 2.0 only"
S6,Caverphone.java,68,"txt = txt.replaceAll(""^cough"", ""cou2f"");"
S7,Caverphone.java,69,"txt = txt.replaceAll(""^rough"", ""rou2f"");"
S8,Caverphone.java,70,"txt = txt.replaceAll(""^tough"", ""tou2f"");"
S9,Caverphone.java,71,"txt = txt.replaceAll(""^enough"", ""enou2f"");  // 2.0 only"
S10,Caverphone.java,72,"txt = txt.replaceAll(""^trough"", ""trou2f"");  // 2.0 only - note the spec says ^enough here again, c+p error I assume"
S11,Caverphone.java,73,"txt = txt.replaceAll(""^gn"", ""2n"");"
S12,Caverphone.java,76,"txt = txt.replaceAll(""^mb"", ""m2"");"
S13,Caverphone.java,79,"txt = txt.replaceAll(""cq"", ""2q"");"
S14,Caverphone.java,80,"txt = txt.replaceAll(""ci"", ""si"");"
S15,Caverphone.java,81,"txt = txt.replaceAll(""ce"", ""se"");"
S16,Caverphone.java,82,"txt = txt.replaceAll(""cy"", ""sy"");"
S17,Caverphone.java,83,"txt = txt.replaceAll(""tch"", ""2ch"");"
S18,Caverphone.java,84,"txt = txt.replaceAll(""c"", ""k"");"
S19,Caverphone.java,85,"txt = txt.replaceAll(""q"", ""k"");"
S20,Caverphone.java,86,"txt = txt.replaceAll(""x"", ""k"");"
S21,Caverphone.java,87,"txt = txt.replaceAll(""v"", ""f"");"
S22,Caverphone.java,88,"txt = txt.replaceAll(""dg"", ""2g"");"
S23,Caverphone.java,89,"txt = txt.replaceAll(""tio"", ""sio"");"
S24,Caverphone.java,90,"txt = txt.replaceAll(""tia"", ""sia"");"
S25,Caverphone.java,91,"txt = txt.replaceAll(""d"", ""t"");"
S26,Caverphone.java,92,"txt = txt.replaceAll(""ph"", ""fh"");"
S27,Caverphone.java,93,"txt = txt.replaceAll(""b"", ""p"");"
S28,Caverphone.java,94,"txt = txt.replaceAll(""sh"", ""s2"");"
S29,Caverphone.java,95,"txt = txt.replaceAll(""z"", ""s"");"
S30,Caverphone.java,96,"txt = txt.replaceAll(""^[aeiou]"", ""A"");"
S31,Caverphone.java,97,"txt = txt.replaceAll(""[aeiou]"", ""3"");"
S32,Caverphone.java,98,"txt = txt.replaceAll(""j"", ""y"");        // 2.0 only"
S33,Caverphone.java,99,"txt = txt.replaceAll(""^y3"", ""Y3"");     // 2.0 only"
S34,Caverphone.java,100,"txt = txt.replaceAll(""^y"", ""A"");       // 2.0 only"
S35,Caverphone.java,101,"txt = txt.replaceAll(""y"", ""3"");        // 2.0 only"
S36,Caverphone.java,102,"txt = txt.replaceAll(""3gh3"", ""3kh3"");"
S37,Caverphone.java,103,"txt = txt.replaceAll(""gh"", ""22"");"
S38,Caverphone.java,104,"txt = txt.replaceAll(""g"", ""k"");"
S39,Caverphone.java,105,"txt = txt.replaceAll(""s+"", ""S"");"
S40,Caverphone.java,106,"txt = txt.replaceAll(""t+"", ""T"");"
S41,Caverphone.java,107,"txt = txt.replaceAll(""p+"", ""P"");"
S42,Caverphone.java,108,"txt = txt.replaceAll(""k+"", ""K"");"
S43,Caverphone.java,109,"txt = txt.replaceAll(""f+"", ""F"");"
S44,Caverphone.java,110,"txt = txt.replaceAll(""m+"", ""M"");"
S45,Caverphone.java,111,"txt = txt.replaceAll(""n+"", ""N"");"
S46,Caverphone.java,112,"txt = txt.replaceAll(""w3"", ""W3"");"
S47,Caverphone.java,114,"txt = txt.replaceAll(""wh3"", ""Wh3"");"
S48,Caverphone.java,115,"txt = txt.replaceAll(""w$"", ""3"");       // 2.0 only"
S49,Caverphone.java,117,"txt = txt.replaceAll(""w"", ""2"");"
S50,Caverphone.java,118,"txt = txt.replaceAll(""^h"", ""A"");"
S51,Caverphone.java,119,"txt = txt.replaceAll(""h"", ""2"");"
S52,Caverphone.java,120,"txt = txt.replaceAll(""r3"", ""R3"");"
S53,Caverphone.java,121,"txt = txt.replaceAll(""r$"", ""3"");       // 2.0 only"
S54,Caverphone.java,123,"txt = txt.replaceAll(""r"", ""2"");"
S55,Caverphone.java,124,"txt = txt.replaceAll(""l3"", ""L3"");"
S56,Caverphone.java,125,"txt = txt.replaceAll(""l$"", ""3"");       // 2.0 only"
S57,Caverphone.java,127,"txt = txt.replaceAll(""l"", ""2"");"
S58,Caverphone.java,133,"txt = txt.replaceAll(""2"", """");"
S59,Caverphone.java,134,"txt = txt.replaceAll(""3$"", ""A"");       // 2.0 only"
S60,Caverphone.java,135,"txt = txt.replaceAll(""3"", """");"
S61,Caverphone.java,138,"txt = txt + ""111111"" + ""1111"";        // 1.0 only has 6 1s"
S62,Caverphone.java,141,"return txt.substring(0, 10);          // 1.0 truncates to 6"
S63,Caverphone.java,170,return caverphone(pString);
S64,Caverphone.java,182,return caverphone(str1).equals(caverphone(str2));
