virtual_test_id,result
namespacePreservation_htmlEl_L76_F_1,PASS
namespacePreservation_htmlEl_L77_F_2,PASS
namespacePreservation_htmlEl_L78_F_3,PASS
namespacePreservation_head_L82_F_4,PASS
namespacePreservation_head_L83_F_5,PASS
namespacePreservation_head_L84_F_6,PASS
namespacePreservation_epubTitle_L87_F_7,PASS
namespacePreservation_epubTitle_L88_F_8,PASS
namespacePreservation_epubTitle_L89_F_9,PASS
namespacePreservation_epubTitle_L90_F_10,PASS
namespacePreservation_xSection_L93_F_11,PASS
namespacePreservation_xSection_L94_F_12,PASS
namespacePreservation_xSection_L95_F_13,PASS
namespacePreservation_svg_L100_F_14,PASS
namespacePreservation_svg_L101_F_15,PASS
namespacePreservation_svg_L102_F_16,PASS
namespacePreservation_path_L105_F_17,PASS
namespacePreservation_path_L106_F_18,PASS
namespacePreservation_path_L107_F_19,PASS
namespacePreservation_clip_L110_F_20,PASS
namespacePreservation_clip_L111_F_21,PASS
namespacePreservation_clip_L112_F_22,PASS
namespacePreservation_clip_L113_F_23,PASS
namespacePreservation_picture_L116_F_24,FAIL
convertsGoogle_htmlEl_L42_P_1,PASS
convertsGoogle_htmlEl_L43_P_2,PASS
convertsGoogle_htmlEl_L44_P_3,PASS
