test_case,S1,S2,S3,S4,S5,result
org.apache.commons.lang.LocaleUtilsTest::testConstructor,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testToLocale_1Part,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testToLocale_2Part,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testToLocale_3Part,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testLocaleLookupList_Locale,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testLocaleLookupList_LocaleLocale,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testAvailableLocaleList,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testAvailableLocaleSet,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testIsAvailableLocale,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testLanguagesByCountry,1,1,1,1,1,FAIL
org.apache.commons.lang.LocaleUtilsTest::testCountriesByLanguage,1,1,1,1,1,FAIL
