file,line,approx,answerable
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,296,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,297,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,301,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,311,True,False
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,638,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,639,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,643,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,647,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,653,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,654,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,655,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,656,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,658,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,660,False,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,632,True,True
src/java/org/apache/commons/jxpath/ri/model/dom/DOMNodePointer.java,641,True,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,240,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,250,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,251,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,252,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,253,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,256,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,257,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,258,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,259,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,260,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,262,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,249,True,False
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,436,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,440,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,441,False,True
src/java/org/apache/commons/jxpath/ri/model/jdom/JDOMNodePointer.java,756,False,True
