project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice,nearest_line_diff_trace,nearest_line_diff_slice,diff_best_trace,diff_tie_trace,diff_best_slice,diff_tie_slice,diff_reason_trace,diff_reason_slice,unanswerable_reason
Csv,12b,CSVFormat.java,219,140,46,1,1,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Codec,13b,DoubleMetaphone.java,22,None,None,None,None,25,37,9,6,1,2,succeed,succeed,dead_code_never_executed
Codec,13b,DoubleMetaphone.java,244,3,1,None,None,0,-179,already_found,already_found,1,2,succeed,succeed,
Codec,13b,StringUtils.java,70,None,None,None,None,11,11,15,1319,3,109,succeed,succeed,dead_code_never_executed
Csv,3b,Lexer.java,90,10,3,58,154,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Csv,3b,Lexer.java,111,1,1,58,154,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Csv,13b,CSVFormat.java,318,37,53,1,1,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Csv,13b,CSVPrinter.java,139,92,7,2,57,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,510,258,21,None,None,0,-13,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,514,165,2,None,None,0,-17,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,550,1,4,None,None,0,-53,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,551,1,4,None,None,0,-54,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,552,1,4,None,None,0,-55,already_found,already_found,5,62,succeed,succeed,
JacksonXml,1b,FromXmlParser.java,553,1,4,None,None,0,-56,already_found,already_found,5,62,succeed,succeed,
JacksonXml,6b,ToXmlGenerator.java,843,None,None,None,None,-8,-757,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,844,None,None,None,None,-9,-758,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,845,None,None,None,None,-10,-759,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,846,None,None,None,None,-11,-760,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,847,None,None,None,None,-12,-761,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,848,None,None,None,None,-13,-762,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,849,None,None,None,None,-14,-763,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,851,None,None,None,None,-16,-765,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,866,None,None,None,None,11,-780,301,1034,5,61,succeed,succeed,dead_code_never_executed
JacksonXml,6b,ToXmlGenerator.java,867,None,None,None,None,10,-781,301,1034,5,61,succeed,succeed,dead_code_never_executed
