virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,result
test13666_bytes_L240_F_1,0,0,0,0,0,0,0,0,0,FAIL
testOptionWithoutShortFormat2_out_L437_F_2,0,0,0,0,0,0,0,0,0,FAIL
testLongLineChunkingIndentIgnored_formatter_L269_F_3,0,0,0,0,0,0,0,0,0,FAIL
testPrintSortedUsage_out_L235_P_1,0,0,0,0,0,0,0,0,0,PASS
testPrintSortedUsageWithNullComparator_out_L251_P_2,0,0,0,0,0,0,0,0,0,PASS
testPrintOptionGroupUsage_out_L269_P_3,0,0,0,0,0,0,0,0,0,PASS
testPrintRequiredOptionGroupUsage_out_L288_P_4,0,0,0,0,0,0,0,0,0,PASS
testPrintOptionWithEmptyArgNameUsage_out_L305_P_5,0,0,0,0,0,0,0,0,0,PASS
testRtrim_formatter_L312_P_6,1,1,1,1,1,1,1,1,1,PASS
testRtrim_formatter_L313_P_7,1,1,1,1,1,1,1,1,1,PASS
testRtrim_formatter_L314_P_8,1,1,1,1,1,1,1,1,1,PASS
testHeaderStartingWithLineSeparator_out_L355_P_9,0,0,0,0,0,0,0,0,0,PASS
testOptionWithoutShortFormat_out_L375_P_10,0,0,0,0,0,0,0,0,0,PASS
