virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,result
sanitizeShortensString_ArchiveUtils_L82_F_1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,FAIL
testCompareBA_ArchiveUtils_L43_P_1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L44_P_2,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L45_P_3,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L46_P_4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L47_P_5,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L48_P_6,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L49_P_7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PASS
testCompareBA_ArchiveUtils_L50_P_8,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PASS
testCompareAscii_ArchiveUtils_L57_P_9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareAscii_ArchiveUtils_L58_P_10,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareAscii_ArchiveUtils_L59_P_11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCompareAscii_ArchiveUtils_L60_P_12,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PASS
