virtual_test_id,S1,result
testIntersectionNotIntersecting_sub1_L160_F_1,1,FAIL
testIntersectionParallel_sub1_L151_F_2,1,FAIL
testIntersectionInsideBoundary_sub1_L121_P_1,1,PASS
testIntersectionInsideOutside_sub1_L128_P_2,1,PASS
testIntersectionInsideOutside_sub1_L129_P_3,1,PASS
testIntersectionBoundaryBoundary_sub1_L137_P_4,1,PASS
testIntersectionBoundaryOutside_sub1_L144_P_5,1,PASS
testIntersectionBoundaryOutside_sub1_L145_P_6,1,PASS
testIntersectionOutsideOutside_sub1_L152_P_7,1,PASS
testIntersectionOutsideOutside_sub1_L153_P_8,1,PASS
testIntersectionInsideBoundary_sub1_L112_P_9,1,PASS
testIntersectionInsideOutside_sub1_L119_P_10,1,PASS
testIntersectionInsideOutside_sub1_L120_P_11,1,PASS
testIntersectionBoundaryBoundary_sub1_L128_P_12,1,PASS
testIntersectionBoundaryOutside_sub1_L135_P_13,1,PASS
testIntersectionBoundaryOutside_sub1_L136_P_14,1,PASS
testIntersectionOutsideOutside_sub1_L143_P_15,1,PASS
testIntersectionOutsideOutside_sub1_L144_P_16,1,PASS
