test_case,result,assertion_source_lines,dynamic_pass_asserts,dynamic_fail_asserts,trace_source
org.apache.commons.csv.CSVFileParserTest::testCSVFile,FAIL,4,0,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testCSVFile_readTestData_L129_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFileParserTest::testCSVUrl,FAIL,0,0,0,
org.apache.commons.csv.CSVFormatPredefinedTest::testDefault,PASS,0,0,0,
org.apache.commons.csv.CSVFormatPredefinedTest::testExcel,PASS,0,0,0,
org.apache.commons.csv.CSVFormatPredefinedTest::testMySQL,PASS,0,0,0,
org.apache.commons.csv.CSVFormatPredefinedTest::testRFC4180,PASS,0,0,0,
org.apache.commons.csv.CSVFormatPredefinedTest::testTDF,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testDelimiterSameAsCommentStartThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testDelimiterSameAsEscapeThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testDuplicateHeaderElements,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testEquals,PASS,7,17,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEquals_left_L85_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsCommentStart,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsCommentStart_left_L97_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsDelimiter,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsDelimiter_left_L105_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsEscape,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsEscape_left_L118_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsHeader,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsHeader_left_L135_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsIgnoreEmptyLines,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsIgnoreEmptyLines_left_L150_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsIgnoreSurroundingSpaces,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsIgnoreSurroundingSpaces_left_L164_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsQuoteChar,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsQuoteChar_left_L172_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsQuotePolicy,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsQuotePolicy_left_L183_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsRecordSeparator,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsRecordSeparator_left_L199_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsNullString,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsNullString_left_L216_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEqualsSkipHeaderRecord,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testEqualsSkipHeaderRecord_left_L234_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testEscapeSameAsCommentStartThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testEscapeSameAsCommentStartThrowsExceptionForWrapperType,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testFormat,PASS,3,14,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testFormat_y_L254_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testGetHeader,PASS,2,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testGetHeader_headerCopy_L267_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testNullRecordSeparatorCsv106,PASS,2,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testNullRecordSeparatorCsv106_formatStr_L275_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testQuoteCharSameAsCommentStartThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testQuoteCharSameAsCommentStartThrowsExceptionForWrapperType,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testQuoteCharSameAsDelimiterThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testQuotePolicyNoneWithoutEscapeThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testRFC4180,PASS,7,23,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testRFC4180_RFC4180_L307_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testSerialization,PASS,8,35,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_slicer4j_passed/testSerialization_CSVFormat_L324_P_1/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithCommentStart,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithCommentStart_formatWithCommentStart_L336_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithCommentStartCRThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testWithDelimiter,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithDelimiter_formatWithDelimiter_L347_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithDelimiterLFThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testWithEscape,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithEscape_formatWithEscape_L358_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithEscapeCRThrowsExceptions,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testWithHeader,PASS,3,7,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithHeader_Arrays_L376_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testJiraCsv154_withCommentMarker,PASS,1,2,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testJiraCsv154_withCommentMarker_s_L389_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testJiraCsv154_withHeaderComments,PASS,1,2,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testJiraCsv154_withHeaderComments_s_L402_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithIgnoreEmptyLines,PASS,2,8,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_slicer4j_passed/testWithIgnoreEmptyLines_CSVFormat_L407_P_8/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithIgnoreSurround,PASS,2,8,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_slicer4j_passed/testWithIgnoreSurround_CSVFormat_L413_P_10/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithNullString,PASS,1,2,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithNullString_formatWithNullString_L420_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithQuoteChar,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithQuoteChar_Character_L426_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithQuoteLFThrowsException,PASS,0,0,0,
org.apache.commons.csv.CSVFormatTest::testWithQuotePolicy,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithQuotePolicy_formatWithQuotePolicy_L437_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithRecordSeparatorCR,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithRecordSeparatorCR_formatWithRecordSeparator_L443_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithRecordSeparatorLF,PASS,1,3,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithRecordSeparatorLF_formatWithRecordSeparator_L449_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVFormatTest::testWithRecordSeparatorCRLF,PASS,1,2,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testWithRecordSeparatorCRLF_formatWithRecordSeparator_L455_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testBackslashEscaping,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testBackslashEscaping_records_L107_traceonly/trace.log_icdg.log
org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,PASS,1,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_13b/step2_slicing/_assert_trace_only/testBackslashEscaping2_records_L134_traceonly/trace.log_icdg.log
