file,line,approx,answerable,reason
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,67,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,135,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,199,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,205,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,211,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,212,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,215,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,216,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,222,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,223,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,226,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,227,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,232,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,853,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,871,False,True,
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,913,False,False,live_line_never_executed
src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,942,False,True,
