virtual_test_id,result
testIndentedHeaderAndFooter_out_L441_F_1,FAIL
testPrintSortedUsage_out_L286_P_1,PASS
testPrintSortedUsageWithNullComparator_out_L302_P_2,PASS
testPrintOptionGroupUsage_out_L320_P_3,PASS
testPrintRequiredOptionGroupUsage_out_L339_P_4,PASS
testPrintOptionWithEmptyArgNameUsage_out_L356_P_5,PASS
testDefaultArgName_out_L372_P_6,PASS
testHeaderStartingWithLineSeparator_out_L422_P_7,PASS
testOptionWithoutShortFormat_out_L462_P_8,PASS
testOptionWithoutShortFormat2_out_L524_P_9,PASS
testHelpWithLongOptSeparator_out_L557_P_10,PASS
testUsageWithLongOptSeparator_out_L581_P_11,PASS
