Project,BugID,Total_Fault_Lines,Unanswerable_Fault_Lines,Bug_Fully_Unanswerable
Csv,3b,3,0,False
JacksonXml,1b,6,0,False
Collections,25b,3,0,False
Collections,26b,1,0,False
Collections,27b,1,1,True
Collections,28b,1,1,True
Chart,1b,1,0,False
Csv,1b,1,0,False
Csv,2b,2,1,False
Csv,5b,2,0,False
Csv,4b,1,0,False
Csv,6b,2,0,False
Csv,7b,2,1,False
Csv,9b,1,0,False
Csv,8b,8,0,False
Csv,11b,1,0,False
Csv,10b,1,1,True
Csv,13b,2,0,False
Csv,12b,1,0,False
Csv,14b,1,0,False
Csv,15b,3,0,False
Codec,4b,1,0,False
Codec,5b,1,0,False
Codec,6b,3,0,False
Csv,16b,4,1,False
Codec,3b,1,0,False
Codec,8b,10,0,False
Codec,10b,1,0,False
Codec,11b,24,12,False
Codec,12b,5,5,True
Codec,7b,1,0,False
Codec,14b,10,4,False
Codec,9b,1,0,False
Codec,16b,1,0,False
Codec,15b,6,0,False
Codec,17b,1,0,False
Cli,1b,32,2,False
Cli,2b,2,0,False
Cli,3b,2,0,False
Cli,4b,1,0,False
Codec,18b,1,0,False
Cli,5b,1,0,False
Cli,7b,3,1,False
Cli,8b,1,0,False
Cli,9b,2,0,False
Cli,10b,2,1,False
Cli,11b,1,0,False
Cli,12b,2,0,False
Cli,14b,5,0,False
Cli,13b,5,4,False
Cli,15b,7,2,False
Cli,17b,1,0,False
Cli,16b,7,6,False
Cli,18b,6,0,False
Cli,19b,3,1,False
Cli,20b,4,0,False
Cli,22b,14,3,False
Cli,23b,5,0,False
Cli,24b,2,0,False
Cli,21b,15,10,False
Cli,25b,1,0,False
Cli,27b,2,0,False
Cli,26b,4,3,False
Cli,29b,6,0,False
Cli,30b,8,2,False
Cli,28b,1,0,False
Cli,32b,5,0,False
Cli,33b,4,3,False
Cli,31b,4,0,False
Cli,35b,1,1,True
Cli,34b,2,0,False
Cli,37b,2,1,False
Cli,38b,2,1,False
Cli,39b,2,1,False
Cli,36b,5,1,False
Codec,13b,3,2,False
Codec,2b,1,0,False
Codec,1b,3,0,False
JacksonXml,3b,2,0,False
JacksonXml,2b,8,2,False
JacksonXml,4b,2,0,False
JacksonXml,5b,1,0,False
JacksonXml,6b,10,10,True
