project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice,unanswerable_reason,nearest_line_diff_trace,diff_best_trace,diff_tie_trace,diff_reason_trace,nearest_line_diff_slice,diff_best_slice,diff_tie_slice,diff_reason_slice
Cli,11b,HelpFormatter.java,632,125,9,None,None,,0,,,,None,,,
Cli,12b,GnuParser.java,81,4,1,None,None,,0,,,,-50,,,
Cli,14b,GroupImpl.java,250,105,14,160,199,,0,,,,0,,,
Cli,14b,GroupImpl.java,251,23,1,None,None,,0,,,,-1,,,
Cli,14b,GroupImpl.java,252,None,None,None,None,,-1,,,,-2,,,
Cli,14b,GroupImpl.java,255,105,14,160,199,,0,,,,0,,,
Cli,14b,GroupImpl.java,262,73,5,160,199,,0,,,,0,,,
Cli,13b,ArgumentImpl.java,144,149,6,None,None,,0,,,,3,,,
Cli,13b,WriteableCommandLine.java,47,None,None,None,None,,None,,,,None,,,
Cli,13b,WriteableCommandLineImpl.java,132,None,None,None,None,,-3,,,,-3,,,
Cli,13b,WriteableCommandLineImpl.java,133,None,None,None,None,,-4,,,,-4,,,
Cli,13b,WriteableCommandLineImpl.java,135,None,None,None,None,,4,,,,-6,,,
Cli,15b,WriteableCommandLineImpl.java,117,197,4,216,38,,0,,,,0,,,
Cli,15b,WriteableCommandLineImpl.java,118,384,840,216,38,,0,,,,0,,,
Cli,15b,WriteableCommandLineImpl.java,122,197,4,216,38,,0,,,,0,,,
Cli,15b,WriteableCommandLineImpl.java,123,384,840,216,38,,0,,,,0,,,
Cli,15b,WriteableCommandLineImpl.java,124,None,None,None,None,,-1,,,,-1,,,
Cli,15b,WriteableCommandLineImpl.java,127,None,None,None,None,,2,,,,2,,,
Cli,15b,WriteableCommandLineImpl.java,128,None,None,None,None,,1,,,,1,,,
Cli,17b,PosixParser.java,300,29,50,None,None,,0,,,,None,,,
Cli,16b,GroupImpl.java,90,349,15,2,353,,0,,,,0,,,
Cli,16b,Option.java,206,None,None,None,None,,None,,,,None,,,
Cli,16b,Option.java,216,None,None,None,None,,None,,,,None,,,
Cli,16b,OptionImpl.java,36,None,None,None,None,,7,,,,7,,,
Cli,16b,OptionImpl.java,128,None,None,None,None,,4,,,,4,,,
Cli,16b,OptionImpl.java,129,None,None,None,None,,3,,,,3,,,
Cli,16b,WriteableCommandLineImpl.java,74,None,None,None,None,,4,,,,-4,,,
Cli,18b,PosixParser.java,128,300,344,None,None,,0,,,,None,,,
Cli,18b,PosixParser.java,213,None,None,None,None,,2,,,,None,,,
Cli,18b,PosixParser.java,215,300,344,None,None,,0,,,,None,,,
Cli,18b,PosixParser.java,216,None,None,None,None,,-1,,,,None,,,
Cli,18b,PosixParser.java,238,1,12,None,None,,0,,,,None,,,
Cli,19b,PosixParser.java,232,282,2,None,None,,0,,,,None,,,
Cli,19b,PosixParser.java,237,285,359,None,None,,0,,,,None,,,
Cli,19b,PosixParser.java,239,None,None,None,None,,-2,,,,None,,,
Cli,1b,CommandLine.java,19,None,None,None,None,,24,,,,24,,,
Cli,1b,CommandLine.java,23,None,None,None,None,,20,,,,20,,,
Cli,1b,CommandLine.java,46,261,15,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,47,261,15,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,51,261,15,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,69,298,1,None,None,,0,,,,-18,,,
Cli,1b,CommandLine.java,93,301,271,None,None,,0,,,,30,,,
Cli,1b,CommandLine.java,98,301,271,None,None,,0,,,,25,,,
Cli,1b,CommandLine.java,149,292,5,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,151,292,5,1,2,,0,,,,0,,,
Cli,1b,CommandLine.java,152,292,5,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,154,218,6,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,155,None,None,None,None,,-1,,,,-1,,,
Cli,1b,CommandLine.java,156,292,5,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,158,292,5,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,169,None,None,None,None,,-8,,,,-11,,,
Cli,1b,CommandLine.java,170,None,None,None,None,,-9,,,,-12,,,
Cli,1b,CommandLine.java,277,234,9,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,278,234,9,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,279,234,9,None,None,,0,,,,-1,,,
Cli,1b,CommandLine.java,281,None,None,None,None,,-2,,,,-3,,,
Cli,1b,CommandLine.java,282,None,None,None,None,,-3,,,,3,,,
Cli,1b,CommandLine.java,283,None,None,None,None,,2,,,,2,,,
Cli,1b,CommandLine.java,285,234,9,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,286,None,None,None,None,,-1,,,,-1,,,
Cli,1b,CommandLine.java,287,234,9,3,119,,0,,,,0,,,
Cli,1b,CommandLine.java,298,301,271,None,None,,0,,,,-11,,,
Cli,1b,CommandLine.java,308,None,None,None,None,,-10,,,,-21,,,
Cli,1b,CommandLine.java,316,None,None,None,None,,-18,,,,-29,,,
Cli,20b,PosixParser.java,114,100,2,None,None,,0,,,,None,,,
Cli,20b,PosixParser.java,116,11,19,None,None,,0,,,,None,,,
Cli,20b,PosixParser.java,117,11,19,None,None,,0,,,,None,,,
Cli,20b,PosixParser.java,121,249,3,None,None,,0,,,,None,,,
Cli,22b,PosixParser.java,41,None,None,None,None,,-6,,,,-6,,,
Cli,22b,PosixParser.java,109,215,8,None,None,,0,,,,-3,,,
Cli,22b,PosixParser.java,116,None,None,None,None,,-2,,,,-10,,,
Cli,22b,PosixParser.java,146,177,5,9,111,,0,,,,0,,,
Cli,22b,PosixParser.java,148,12,18,None,None,,0,,,,-2,,,
Cli,22b,PosixParser.java,149,None,None,None,None,,-1,,,,-3,,,
Cli,22b,PosixParser.java,152,303,8,9,111,,0,,,,0,,,
Cli,22b,PosixParser.java,184,None,None,None,None,,2,,,,-26,,,
Cli,22b,PosixParser.java,186,32,57,None,None,,0,,,,26,,,
Cli,22b,PosixParser.java,188,None,None,None,None,,-1,,,,24,,,
Cli,22b,PosixParser.java,211,None,None,None,None,,1,,,,1,,,
Cli,22b,PosixParser.java,243,None,None,None,None,,1,,,,-31,,,
Cli,22b,PosixParser.java,262,319,320,None,None,,0,,,,-50,,,
Cli,23b,HelpFormatter.java,824,51,11,None,None,,0,,,,-680,,,
Cli,23b,HelpFormatter.java,833,None,None,None,None,,1,,,,-689,,,
Cli,23b,HelpFormatter.java,836,6,23,None,None,,0,,,,-692,,,
Cli,21b,GroupImpl.java,513,70,9,1,363,,0,,,,0,,,
Cli,21b,GroupImpl.java,514,None,None,None,None,,-1,,,,-1,,,
Cli,21b,WriteableCommandLine.java,102,None,None,None,None,,None,,,,None,,,
Cli,21b,WriteableCommandLine.java,110,None,None,None,None,,None,,,,None,,,
Cli,21b,WriteableCommandLineImpl.java,51,None,None,None,None,,-3,,,,-3,,,
Cli,21b,WriteableCommandLineImpl.java,63,None,None,None,None,,-1,,,,-1,,,
Cli,21b,WriteableCommandLineImpl.java,65,None,None,None,None,,3,,,,-3,,,
Cli,21b,WriteableCommandLineImpl.java,66,None,None,None,None,,2,,,,2,,,
Cli,21b,WriteableCommandLineImpl.java,234,None,None,None,None,,2,,,,2,,,
Cli,21b,WriteableCommandLineImpl.java,235,None,None,None,None,,1,,,,1,,,
Cli,21b,WriteableCommandLineImpl.java,236,187,2,1,363,,0,,,,0,,,
Cli,21b,WriteableCommandLineImpl.java,240,122,4,None,None,,0,,,,-2,,,
Cli,21b,WriteableCommandLineImpl.java,242,64,3,1,363,,0,,,,0,,,
Cli,21b,WriteableCommandLineImpl.java,245,416,1007,1,363,,0,,,,0,,,
Cli,21b,WriteableCommandLineImpl.java,246,None,None,None,None,,-1,,,,-1,,,
Cli,24b,HelpFormatter.java,825,2,3,None,None,,0,already_found,already_found,succeed,-697,1,9,succeed
Cli,25b,HelpFormatter.java,825,2,3,None,None,,0,already_found,already_found,succeed,-5,1,92,succeed
Cli,26b,OptionBuilder.java,348,None,None,None,None,,1,84,24,succeed,None,None,None,pipeline_gap
Cli,26b,OptionBuilder.java,349,84,24,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,26b,OptionBuilder.java,359,None,None,None,None,,-1,84,24,succeed,None,None,None,pipeline_gap
Cli,26b,OptionBuilder.java,361,None,None,None,None,,-1,84,24,succeed,None,None,None,pipeline_gap
Cli,27b,OptionGroup.java,98,202,375,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,27b,OptionGroup.java,100,202,375,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,29b,Util.java,65,104,4,1,5,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,29b,Util.java,67,78,2,6,7,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,29b,Util.java,68,None,None,None,None,,-1,78,2,succeed,1,1,5,succeed
Cli,29b,Util.java,70,104,4,1,5,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,29b,Util.java,72,78,2,1,5,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,2b,PosixParser.java,305,28,58,None,None,,0,already_found,already_found,succeed,-272,1,3,succeed
Cli,2b,PosixParser.java,309,None,None,None,None,,-4,28,58,succeed,-276,1,3,succeed
Cli,28b,Parser.java,290,1,4,None,None,,0,already_found,already_found,succeed,3,93,154,succeed
Cli,30b,DefaultParser.java,150,None,None,None,None,,None,None,None,pipeline_gap,None,None,None,pipeline_gap
Cli,30b,DefaultParser.java,152,None,None,None,None,,None,None,None,pipeline_gap,None,None,None,pipeline_gap
Cli,30b,DefaultParser.java,155,None,None,None,None,,None,None,None,pipeline_gap,None,None,None,pipeline_gap
Cli,30b,DefaultParser.java,156,None,None,None,None,,None,None,None,pipeline_gap,None,None,None,pipeline_gap
Cli,30b,Parser.java,263,4,84,None,None,,0,already_found,already_found,succeed,-19,4,5,succeed
Cli,30b,Parser.java,265,4,84,None,None,,0,already_found,already_found,succeed,-21,4,5,succeed
Cli,32b,HelpFormatter.java,937,None,None,None,None,,-1,1,3,succeed,-802,1,10,succeed
Cli,32b,HelpFormatter.java,940,1,3,None,None,,0,already_found,already_found,succeed,-805,1,10,succeed
Cli,32b,HelpFormatter.java,941,None,None,None,None,,-1,1,3,succeed,-806,1,10,succeed
Cli,31b,HelpFormatter.java,653,27,25,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,31b,HelpFormatter.java,656,2,2,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,31b,Option.java,57,167,12,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,31b,OptionBuilder.java,80,62,25,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,33b,HelpFormatter.java,730,43,3,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,33b,HelpFormatter.java,900,None,None,None,None,,-13,76,476,succeed,None,None,None,pipeline_gap
Cli,33b,HelpFormatter.java,901,None,None,None,None,,-14,76,476,succeed,None,None,None,pipeline_gap
Cli,33b,HelpFormatter.java,902,None,None,None,None,,-15,76,476,succeed,None,None,None,pipeline_gap
Cli,35b,Options.java,240,None,None,None,None,,1,68,4,succeed,1,2,136,succeed
Cli,34b,Option.java,72,None,None,None,None,,-3,190,8,succeed,-3,34,8,succeed
Cli,34b,OptionBuilder.java,84,79,25,7,3,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,37b,DefaultParser.java,302,34,27,None,None,,0,already_found,already_found,succeed,-170,1,7,succeed
Cli,37b,DefaultParser.java,305,None,None,None,None,,-3,34,27,succeed,-173,1,7,succeed
Cli,38b,DefaultParser.java,310,1,14,None,None,,0,already_found,already_found,succeed,-178,1,7,succeed
Cli,38b,DefaultParser.java,312,None,None,None,None,,-2,1,14,succeed,-180,1,7,succeed
Cli,39b,TypeHandler.java,92,1,2,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,39b,TypeHandler.java,234,None,None,None,None,,-10,3,1,succeed,None,None,None,pipeline_gap
Cli,36b,OptionGroup.java,22,None,None,None,None,,9,36,12,succeed,9,1,68,succeed
Cli,36b,OptionGroup.java,24,None,None,None,None,,7,36,12,succeed,7,1,68,succeed
Cli,36b,OptionGroup.java,37,36,12,1,68,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,36b,Options.java,24,None,None,None,None,,20,70,5,succeed,20,1,68,succeed
Cli,36b,Options.java,61,70,5,1,68,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,3b,TypeHandler.java,25,None,None,None,None,,23,1,260,succeed,None,None,None,pipeline_gap
Cli,3b,TypeHandler.java,162,1,260,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,4b,Parser.java,298,1,33,None,None,,0,already_found,already_found,succeed,-3,1,71,succeed
Cli,7b,PatternBuilder.java,19,None,None,None,None,,27,1,285,succeed,27,2,139,succeed
Cli,7b,PatternBuilder.java,21,None,None,None,None,,25,1,285,succeed,25,2,139,succeed
Cli,7b,PatternBuilder.java,67,1,285,2,139,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,5b,Util.java,36,94,1,9,98,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,8b,HelpFormatter.java,812,39,38,1,12,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Codec,10b,Caverphone.java,76,2,62,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,9b,Parser.java,317,11,8,None,None,,0,already_found,already_found,succeed,5,9,78,succeed
Cli,9b,Parser.java,322,11,8,9,78,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Codec,11b,QuotedPrintableCodec.java,70,None,None,None,None,,7,7,7,succeed,21,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,71,None,None,None,None,,6,7,7,succeed,20,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,73,None,None,None,None,,4,7,7,succeed,18,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,114,None,None,None,None,,1,42,7,succeed,-12,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,120,None,None,None,None,,-1,42,7,succeed,-18,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,132,None,None,None,None,,-13,42,7,succeed,-30,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,144,None,None,None,None,,24,30,1,succeed,-42,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,152,None,None,None,None,,16,30,1,succeed,-50,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,175,None,None,None,None,,-1,23,7,succeed,-73,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,177,None,None,None,None,,1,23,7,succeed,-75,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,178,23,7,None,None,,0,already_found,already_found,succeed,-76,2,3,succeed
Codec,11b,QuotedPrintableCodec.java,179,23,7,None,None,,0,already_found,already_found,succeed,-77,2,3,succeed
