project,bug_id,full_execution_size,passing_TC_size,failing_TC_size,union_passing_slice,union_failing_slice,union_all_slice,all_reduction_ratio
Csv,3b,443,439,215,204,148,211,0.523702
JacksonXml,1b,1198,1194,395,124,107,124,0.896494
Collections,25b,1438,1435,77,73,16,89,0.938108
Collections,26b,549,549,12,9,0,9,0.983607
Collections,27b,481,479,19,0,9,9,0.981289
Collections,28b,463,463,314,118,30,118,0.74514
Chart,1b,15150,15149,546,763,195,832,0.945083
Csv,1b,359,359,138,119,94,119,0.668524
Csv,2b,428,428,9,8,5,8,0.981308
Csv,5b,536,536,80,0,2,2,0.996269
Csv,4b,524,524,90,128,42,128,0.755725
Csv,6b,482,482,189,0,103,103,0.786307
Csv,7b,540,540,175,0,0,0,1.0
Csv,9b,486,486,174,0,0,0,1.0
Csv,8b,554,553,51,1,1,1,0.998195
Csv,11b,563,563,181,1,1,1,0.998224
Csv,10b,554,554,77,63,26,68,0.877256
Csv,13b,609,609,112,1,59,59,0.90312
Csv,12b,563,563,185,139,1,140,0.751332
Csv,14b,648,648,111,50,32,50,0.92284
Csv,15b,703,703,137,51,7,51,0.927454
Codec,4b,381,381,76,0,0,0,1.0
Codec,5b,381,381,99,0,23,23,0.939633
Codec,6b,188,188,63,0,0,0,1.0
Csv,16b,608,608,209,215,105,216,0.644737
Codec,3b,446,446,180,0,3,3,0.993274
Codec,8b,375,375,70,0,17,17,0.954667
Codec,10b,64,64,63,0,0,0,1.0
Codec,11b,210,210,56,3,4,4,0.980952
Codec,12b,342,314,234,75,79,87,0.745614
Codec,7b,384,383,116,27,3,30,0.921875
Codec,14b,421,421,369,0,0,0,1.0
Codec,9b,361,361,84,25,0,25,0.930748
Codec,16b,282,281,25,1,0,1,0.996454
Codec,15b,171,171,42,1,1,1,0.994152
Codec,17b,1407,1406,19,36,2,37,0.973703
Cli,1b,571,542,300,0,121,121,0.788091
Cli,2b,565,538,287,8,3,8,0.985841
Cli,3b,260,0,260,0,8,8,0.969231
Cli,4b,587,560,303,0,79,79,0.865417
Codec,18b,1419,1407,25,47,6,49,0.965469
Cli,5b,589,562,295,105,12,106,0.820034
Cli,7b,285,0,285,0,165,165,0.421053
Cli,8b,477,467,154,96,22,96,0.798742
Cli,9b,616,606,308,78,86,86,0.86039
Cli,10b,619,609,322,0,0,0,1.0
Cli,11b,491,479,167,0,0,0,1.0
Cli,12b,471,461,252,10,7,10,0.978769
Cli,14b,1271,1262,392,339,159,358,0.718332
Cli,13b,1395,1395,328,316,102,338,0.757706
Cli,15b,1223,1223,383,239,245,253,0.793132
Cli,17b,641,630,308,0,0,0,1.0
Cli,16b,1465,1465,415,354,1,354,0.758362
Cli,18b,643,631,299,0,0,0,1.0
Cli,19b,643,633,284,0,0,0,1.0
Cli,20b,642,632,297,0,0,0,1.0
Cli,22b,638,627,318,118,8,119,0.81348
Cli,23b,524,521,222,9,55,55,0.895038
Cli,24b,526,523,208,9,0,9,0.98289
Cli,21b,1422,1416,415,363,0,363,0.744726
Cli,25b,526,523,208,92,0,92,0.825095
Cli,27b,576,572,201,0,0,0,1.0
Cli,26b,711,709,341,0,0,0,1.0
Cli,29b,649,647,307,6,6,12,0.98151
Cli,30b,654,651,355,8,3,8,0.987768
Cli,28b,650,646,344,245,95,246,0.621538
Cli,32b,553,549,25,0,10,10,0.981917
Cli,33b,551,551,75,0,0,0,1.0
Cli,31b,737,737,282,0,0,0,1.0
Cli,35b,822,822,110,136,1,137,0.833333
Cli,34b,793,741,327,220,47,226,0.715006
Cli,37b,370,355,162,7,7,7,0.981081
Cli,38b,383,383,164,7,7,7,0.981723
Cli,39b,474,472,208,0,0,0,1.0
Cli,36b,826,826,74,0,68,68,0.917676
Codec,13b,1333,1333,14,109,2,111,0.916729
Codec,2b,330,330,77,0,0,0,1.0
Codec,1b,651,651,0,0,0,0,1.0
JacksonXml,3b,1209,1206,153,121,60,125,0.896609
JacksonXml,2b,1167,1167,319,125,4,125,0.892888
JacksonXml,4b,1233,1228,288,53,4,53,0.957015
JacksonXml,5b,1328,1328,333,0,54,54,0.959337
JacksonXml,6b,1334,1330,300,65,4,65,0.951274
