Project,BugID,Total_Faults,Included_In_Slice,Fault_Inclusion_Rate,Fail_Assert_Count,All_Faulty_Stmts_In_Slice,Faulty_Stmts_In_Slice
Csv,3b,2,0,0.0,2,False,False
JacksonXml,1b,6,0,0.0,3,False,False
Collections,25b,3,1,0.333333,1,False,True
Collections,26b,1,0,0.0,1,False,False
Collections,27b,1,0,0.0,0,False,False
Collections,28b,1,0,0.0,0,False,False
Chart,1b,1,1,1.0,1,True,True
Csv,1b,1,0,0.0,1,False,False
Csv,2b,2,0,0.0,1,False,False
Csv,5b,2,0,0.0,1,False,False
Csv,4b,1,0,0.0,1,False,False
Csv,6b,2,0,0.0,1,False,False
Csv,7b,2,0,0.0,0,False,False
Csv,9b,1,0,0.0,1,False,False
Csv,8b,8,0,0.0,1,False,False
Csv,11b,1,0,0.0,1,False,False
Csv,10b,1,0,0.0,1,False,False
Csv,13b,2,2,1.0,2,True,True
Csv,12b,1,1,1.0,1,True,True
Csv,14b,1,0,0.0,6,False,False
Csv,15b,3,0,0.0,1,False,False
Codec,4b,1,0,0.0,0,False,False
Codec,5b,1,0,0.0,2,False,False
Codec,6b,3,0,0.0,0,False,False
Csv,16b,4,2,0.5,1,False,True
Codec,3b,1,0,0.0,1,False,False
Codec,8b,10,0,0.0,1,False,False
Codec,10b,1,0,0.0,1,False,False
Codec,11b,23,0,0.0,5,False,False
Codec,12b,5,0,0.0,10,False,False
Codec,7b,1,0,0.0,1,False,False
Codec,14b,10,0,0.0,0,False,False
Codec,9b,1,0,0.0,1,False,False
Codec,16b,1,0,0.0,1,False,False
Codec,15b,5,0,0.0,1,False,False
Codec,17b,1,0,0.0,1,False,False
Cli,1b,29,13,0.448276,1,False,True
Cli,2b,2,0,0.0,1,False,False
Cli,3b,2,0,0.0,1,False,False
Cli,4b,1,0,0.0,2,False,False
Codec,18b,1,0,0.0,2,False,False
Cli,5b,1,0,0.0,2,False,False
Cli,7b,3,1,0.333333,1,False,True
Cli,8b,1,1,1.0,1,True,True
Cli,9b,2,1,0.5,1,False,True
Cli,10b,2,0,0.0,1,False,False
Cli,11b,1,0,0.0,1,False,False
Cli,12b,1,0,0.0,3,False,False
Cli,14b,5,0,0.0,1,False,False
Cli,13b,5,0,0.0,1,False,False
Cli,15b,7,0,0.0,2,False,False
Cli,17b,1,0,0.0,0,False,False
Cli,16b,7,0,0.0,3,False,False
Cli,18b,5,0,0.0,0,False,False
Cli,19b,3,0,0.0,1,False,False
Cli,20b,4,0,0.0,0,False,False
Cli,22b,13,0,0.0,1,False,False
Cli,23b,3,0,0.0,2,False,False
Cli,24b,1,0,0.0,1,False,False
Cli,21b,15,0,0.0,1,False,False
Cli,25b,1,0,0.0,1,False,False
Cli,27b,2,0,0.0,0,False,False
Cli,26b,4,0,0.0,0,False,False
Cli,29b,5,3,0.6,1,False,True
Cli,30b,6,0,0.0,1,False,False
Cli,28b,1,0,0.0,1,False,False
Cli,32b,3,0,0.0,1,False,False
Cli,33b,4,0,0.0,1,False,False
Cli,31b,4,0,0.0,1,False,False
Cli,35b,1,0,0.0,1,False,False
Cli,34b,2,1,0.5,2,False,True
Cli,37b,2,0,0.0,0,False,False
Cli,38b,2,0,0.0,1,False,False
Cli,39b,2,0,0.0,0,False,False
Cli,36b,5,2,0.4,1,False,True
Codec,13b,3,0,0.0,2,False,False
Codec,2b,1,0,0.0,2,False,False
Codec,1b,3,0,0.0,0,False,False
JacksonXml,3b,2,0,0.0,1,False,False
JacksonXml,2b,6,0,0.0,1,False,False
JacksonXml,4b,2,0,0.0,1,False,False
JacksonXml,5b,1,0,0.0,1,False,False
JacksonXml,6b,10,0,0.0,5,False,False
