project_id,bug_id,name,checkout_s,pipeline_s,status
Chart,1,Chart_1b,0,1,FAIL
Chart,2,Chart_2b,0,1,FAIL
Chart,3,Chart_3b,0,1,FAIL
Chart,4,Chart_4b,0,1,FAIL
Chart,5,Chart_5b,0,1,FAIL
Chart,6,Chart_6b,0,1,FAIL
Chart,7,Chart_7b,0,0,FAIL
Chart,8,Chart_8b,0,1,FAIL
Chart,9,Chart_9b,0,1,FAIL
Chart,10,Chart_10b,0,1,FAIL
Chart,11,Chart_11b,0,1,FAIL
Chart,12,Chart_12b,0,1,FAIL
Chart,13,Chart_13b,0,1,FAIL
Chart,14,Chart_14b,0,0,FAIL
Chart,15,Chart_15b,0,1,FAIL
Chart,16,Chart_16b,0,1,FAIL
Chart,17,Chart_17b,0,1,FAIL
Chart,18,Chart_18b,0,1,FAIL
Chart,19,Chart_19b,0,1,FAIL
Chart,20,Chart_20b,0,1,FAIL
Chart,21,Chart_21b,0,1,FAIL
Chart,22,Chart_22b,0,1,FAIL
Chart,23,Chart_23b,0,0,FAIL
Chart,24,Chart_24b,0,1,FAIL
Chart,25,Chart_25b,0,1,FAIL
Chart,26,Chart_26b,0,1,FAIL
Cli,1,Cli_1b,0,1,FAIL
Cli,2,Cli_2b,0,1,FAIL
Cli,3,Cli_3b,0,1,FAIL
Cli,4,Cli_4b,0,1,FAIL
Cli,5,Cli_5b,0,0,FAIL
Cli,7,Cli_7b,0,1,FAIL
Cli,8,Cli_8b,0,1,FAIL
Cli,9,Cli_9b,0,1,FAIL
Cli,10,Cli_10b,0,1,FAIL
Cli,11,Cli_11b,0,0,FAIL
Cli,12,Cli_12b,0,1,FAIL
Cli,13,Cli_13b,0,1,FAIL
Cli,14,Cli_14b,0,1,FAIL
Cli,15,Cli_15b,0,1,FAIL
Cli,16,Cli_16b,0,1,FAIL
Cli,17,Cli_17b,0,0,FAIL
Cli,18,Cli_18b,0,1,FAIL
Cli,19,Cli_19b,0,1,FAIL
Cli,20,Cli_20b,0,1,FAIL
Cli,21,Cli_21b,0,1,FAIL
Cli,22,Cli_22b,0,0,FAIL
Cli,23,Cli_23b,0,1,FAIL
Cli,24,Cli_24b,0,1,FAIL
Cli,25,Cli_25b,0,1,FAIL
Cli,26,Cli_26b,0,1,FAIL
Cli,27,Cli_27b,0,1,FAIL
Cli,28,Cli_28b,0,0,FAIL
Cli,29,Cli_29b,0,1,FAIL
Cli,30,Cli_30b,0,1,FAIL
Cli,31,Cli_31b,0,1,FAIL
Cli,32,Cli_32b,0,1,FAIL
Cli,33,Cli_33b,0,0,FAIL
Cli,34,Cli_34b,0,0,FAIL
Cli,35,Cli_35b,0,1,FAIL
Cli,36,Cli_36b,0,1,FAIL
Cli,37,Cli_37b,0,1,FAIL
Cli,38,Cli_38b,0,1,FAIL
Cli,39,Cli_39b,0,1,FAIL
Cli,40,Cli_40b,0,0,FAIL
Closure,1,Closure_1b,0,1,FAIL
Closure,2,Closure_2b,0,1,FAIL
