virtual_test_id,test_case,test_class,test_method,variable,line,virtual_status,slice_size,slice_path
testEscapedCR_lexer_L304_P_1,org.apache.commons.csv.CSVLexerTest::testEscapedCR,org.apache.commons.csv.CSVLexerTest,testEscapedCR,lexer,304,Virtual_Pass,63,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedCR_lexer_L304_P_1/slice.log
testEscapedLF_lexer_L310_P_2,org.apache.commons.csv.CSVLexerTest::testEscapedLF,org.apache.commons.csv.CSVLexerTest,testEscapedLF,lexer,310,Virtual_Pass,63,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedLF_lexer_L310_P_2/slice.log
testEscapedTab_lexer_L316_P_3,org.apache.commons.csv.CSVLexerTest::testEscapedTab,org.apache.commons.csv.CSVLexerTest,testEscapedTab,lexer,316,Virtual_Pass,63,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedTab_lexer_L316_P_3/slice.log
testEscapeBackspace_lexer_L322_P_4,org.apache.commons.csv.CSVLexerTest::testEscapeBackspace,org.apache.commons.csv.CSVLexerTest,testEscapeBackspace,lexer,322,Virtual_Pass,63,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapeBackspace_lexer_L322_P_4/slice.log
testEscapeFF_lexer_L328_P_5,org.apache.commons.csv.CSVLexerTest::testEscapeFF,org.apache.commons.csv.CSVLexerTest,testEscapeFF,lexer,328,Virtual_Pass,63,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapeFF_lexer_L328_P_5/slice.log
testEscapedControlCharacter_lexer_L348_P_6,org.apache.commons.csv.CSVLexerTest::testEscapedControlCharacter,org.apache.commons.csv.CSVLexerTest,testEscapedControlCharacter,lexer,348,Virtual_Pass,61,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedControlCharacter_lexer_L348_P_6/slice.log
testEscapedControlCharacter2_lexer_L354_P_7,org.apache.commons.csv.CSVLexerTest::testEscapedControlCharacter2,org.apache.commons.csv.CSVLexerTest,testEscapedControlCharacter2,lexer,354,Virtual_Pass,61,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEscapedControlCharacter2_lexer_L354_P_7/slice.log
testGetRecords_records_L86_P_8,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest,testGetRecords,records,86,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testGetRecords_records_L86_P_8/slice.log
testGetRecords_records_L87_P_9,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest,testGetRecords,records,87,Virtual_Pass,139,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testGetRecords_records_L87_P_9/slice.log
testGetRecords_records_L89_P_10,org.apache.commons.csv.CSVParserTest::testGetRecords,org.apache.commons.csv.CSVParserTest,testGetRecords,records,89,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testGetRecords_records_L89_P_10/slice.log
testExcelFormat1_records_L107_P_11,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest,testExcelFormat1,records,107,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat1_records_L107_P_11/slice.log
testExcelFormat1_records_L108_P_12,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest,testExcelFormat1,records,108,Virtual_Pass,127,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat1_records_L108_P_12/slice.log
testExcelFormat1_records_L110_P_13,org.apache.commons.csv.CSVParserTest::testExcelFormat1,org.apache.commons.csv.CSVParserTest,testExcelFormat1,records,110,Virtual_Pass,85,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat1_records_L110_P_13/slice.log
testExcelFormat2_records_L126_P_14,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest,testExcelFormat2,records,126,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat2_records_L126_P_14/slice.log
testExcelFormat2_records_L127_P_15,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest,testExcelFormat2,records,127,Virtual_Pass,113,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat2_records_L127_P_15/slice.log
testExcelFormat2_records_L129_P_16,org.apache.commons.csv.CSVParserTest::testExcelFormat2,org.apache.commons.csv.CSVParserTest,testExcelFormat2,records,129,Virtual_Pass,84,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testExcelFormat2_records_L129_P_16/slice.log
testEndOfFileBehaviourExcel_records_L154_P_17,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest,testEndOfFileBehaviourExcel,records,154,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviourExcel_records_L154_P_17/slice.log
testEndOfFileBehaviourExcel_records_L155_P_18,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest,testEndOfFileBehaviourExcel,records,155,Virtual_Pass,130,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviourExcel_records_L155_P_18/slice.log
testEndOfFileBehaviourExcel_records_L157_P_19,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,org.apache.commons.csv.CSVParserTest,testEndOfFileBehaviourExcel,records,157,Virtual_Pass,101,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviourExcel_records_L157_P_19/slice.log
testEndOfFileBehaviorCSV_records_L181_P_20,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest,testEndOfFileBehaviorCSV,records,181,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviorCSV_records_L181_P_20/slice.log
testEndOfFileBehaviorCSV_records_L182_P_21,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest,testEndOfFileBehaviorCSV,records,182,Virtual_Pass,133,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviorCSV_records_L182_P_21/slice.log
testEndOfFileBehaviorCSV_records_L184_P_22,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,org.apache.commons.csv.CSVParserTest,testEndOfFileBehaviorCSV,records,184,Virtual_Pass,108,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEndOfFileBehaviorCSV_records_L184_P_22/slice.log
testEmptyLineBehaviourExcel_records_L205_P_23,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest,testEmptyLineBehaviourExcel,records,205,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourExcel_records_L205_P_23/slice.log
testEmptyLineBehaviourExcel_records_L206_P_24,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest,testEmptyLineBehaviourExcel,records,206,Virtual_Pass,124,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourExcel_records_L206_P_24/slice.log
testEmptyLineBehaviourExcel_records_L208_P_25,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,org.apache.commons.csv.CSVParserTest,testEmptyLineBehaviourExcel,records,208,Virtual_Pass,95,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourExcel_records_L208_P_25/slice.log
testEmptyLineBehaviourCSV_records_L227_P_26,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest,testEmptyLineBehaviourCSV,records,227,Virtual_Pass,2,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourCSV_records_L227_P_26/slice.log
testEmptyLineBehaviourCSV_records_L228_P_27,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,org.apache.commons.csv.CSVParserTest,testEmptyLineBehaviourCSV,records,228,Virtual_Pass,122,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/Csv_3b/step2_slicing/_slicer4j_passed/testEmptyLineBehaviourCSV_records_L228_P_27/slice.log
