virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,result
testSingle_json_L41_F_1,1,0,0,0,0,0,0,0,0,0,0,0,0,FAIL
testNullsInArraySerialization_json_L89_P_1,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testSingleNullInArraySerialization_json_L105_P_2,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testNullsInArrayWithSerializeNullPropertySetSerialization_json_L118_P_3,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testArrayOfCollectionSerialization_json_L171_P_4,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testArrayOfPrimitivesAsObjectsSerialization_json_L203_P_5,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testArrayOfPrimitivesAsObjectsSerialization_json_L204_P_6,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testArrayOfPrimitivesAsObjectsSerialization_json_L205_P_7,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testObjectArrayWithNonPrimitivesSerialization_json_L244_P_8,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testObjectArrayWithNonPrimitivesSerialization_json_L245_P_9,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testTopLevelCollectionOfIntegersSerialization_json_L58_P_10,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testLinkedListSerialization_json_L92_P_11,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testLinkedListSerialization_json_L93_P_12,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testQueueSerialization_json_L110_P_13,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testQueueSerialization_json_L111_P_14,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testNullsInListSerialization_json_L131_P_15,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testRawCollectionSerialization_json_L209_P_16,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testWildcardPrimitiveCollectionSerilaization_json_L245_P_17,0,0,0,0,0,0,0,1,1,0,0,0,0,PASS
testWildcardPrimitiveCollectionSerilaization_json_L248_P_18,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testWildcardCollectionField_json_L269_P_19,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testWildcardCollectionField_json_L270_P_20,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSetSerialization_json_L328_P_21,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testSetSerialization_json_L329_P_22,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSerializerReturnsNull_json_L100_P_23,0,1,1,1,1,0,0,0,0,0,0,1,1,PASS
testCustomTypeAdapterDoesNotAppliesToSubClasses_json_L144_P_24,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testCustomTypeAdapterDoesNotAppliesToSubClasses_json_L147_P_25,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass_json_L160_P_26,0,0,0,0,0,1,1,1,1,0,0,0,0,PASS
testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass_json_L163_P_27,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testCustomTypeAdapterAppliesToSubClassesSerializedAsBaseClass_json_L164_P_28,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
