file,line,approx,answerable,reason
src/java/org/apache/commons/cli2/WriteableCommandLine.java,102,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/WriteableCommandLine.java,110,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,51,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,63,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,65,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,66,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,234,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,235,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,236,True,True,
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,242,True,True,
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,243,True,True,
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,245,True,True,
src/java/org/apache/commons/cli2/commandline/WriteableCommandLineImpl.java,246,True,False,dead_code_never_executed
src/java/org/apache/commons/cli2/option/GroupImpl.java,513,True,True,
src/java/org/apache/commons/cli2/option/GroupImpl.java,514,True,False,dead_code_never_executed
