virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,result
testIsSameLocalTime_Cal_DateUtils_L229_F_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMillisecondFragmentInLargerUnitWithDate_DateUtils_L153_P_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMillisecondFragmentInLargerUnitWithDate_DateUtils_L154_P_2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,PASS
testMillisecondFragmentInLargerUnitWithDate_DateUtils_L155_P_3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,PASS
testMillisecondFragmentInLargerUnitWithDate_DateUtils_L156_P_4,0,0,0,0,0,0,0,0,0,0,1,0,1,1,PASS
testMillisecondFragmentInLargerUnitWithDate_DateUtils_L157_P_5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,PASS
testMillisecondFragmentInLargerUnitWithCalendar_DateUtils_L161_P_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMillisecondFragmentInLargerUnitWithCalendar_DateUtils_L162_P_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMillisecondFragmentInLargerUnitWithCalendar_DateUtils_L163_P_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMillisecondFragmentInLargerUnitWithCalendar_DateUtils_L164_P_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMillisecondFragmentInLargerUnitWithCalendar_DateUtils_L165_P_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSecondFragmentInLargerUnitWithDate_DateUtils_L169_P_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSecondFragmentInLargerUnitWithDate_DateUtils_L170_P_12,0,0,0,0,0,0,0,0,0,1,0,0,1,1,PASS
testSecondFragmentInLargerUnitWithDate_DateUtils_L171_P_13,0,0,0,0,0,0,0,0,0,0,1,0,1,1,PASS
testSecondFragmentInLargerUnitWithDate_DateUtils_L172_P_14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,PASS
testSecondFragmentInLargerUnitWithCalendar_DateUtils_L176_P_15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSecondFragmentInLargerUnitWithCalendar_DateUtils_L177_P_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSecondFragmentInLargerUnitWithCalendar_DateUtils_L178_P_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testSecondFragmentInLargerUnitWithCalendar_DateUtils_L179_P_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMinuteFragmentInLargerUnitWithDate_DateUtils_L183_P_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMinuteFragmentInLargerUnitWithDate_DateUtils_L184_P_20,0,0,0,0,0,0,0,0,0,0,1,0,1,1,PASS
testMinuteFragmentInLargerUnitWithDate_DateUtils_L185_P_21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,PASS
testMinuteFragmentInLargerUnitWithCalendar_DateUtils_L189_P_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMinuteFragmentInLargerUnitWithCalendar_DateUtils_L190_P_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testMinuteFragmentInLargerUnitWithCalendar_DateUtils_L191_P_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testHourOfDayFragmentInLargerUnitWithDate_DateUtils_L195_P_25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testHourOfDayFragmentInLargerUnitWithDate_DateUtils_L196_P_26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,PASS
testHourOfDayFragmentInLargerUnitWithCalendar_DateUtils_L200_P_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testHourOfDayFragmentInLargerUnitWithCalendar_DateUtils_L201_P_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
