virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,result
testSimplePattern_new_L60_F_1,1,1,1,1,1,1,1,1,PASS
testSimplePattern_new_L61_F_2,1,1,1,1,1,1,1,1,PASS
testSimplePattern_true_L62_F_3,1,1,1,1,1,1,1,1,PASS
testSimplePattern_true_L63_F_4,1,1,1,1,1,1,1,1,PASS
testSimplePattern_false_L64_F_5,1,1,1,1,1,1,1,1,PASS
testSimplePattern_false_L65_F_6,1,1,1,1,1,1,1,1,PASS
testSimplePattern_new_L66_F_7,1,1,1,1,1,1,1,1,PASS
testSimplePattern_new_L67_F_8,1,1,1,1,1,1,1,1,PASS
testSimplePattern_java_L68_F_9,1,1,1,1,1,1,1,1,PASS
testSimplePattern_java_L69_F_10,1,1,1,1,1,1,1,1,PASS
testSimplePattern_new_L70_F_11,1,1,1,1,1,1,1,1,FAIL
