virtual_test_id,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,result
testChainedRemoveAttributes_a_L966_F_1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,FAIL
testNewsHomepage_a_L44_P_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testNewsHomepage_a_L45_P_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testYahooJp_a_L82_P_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
testYahooJp_a_L84_P_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L25_P_5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L26_P_6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L27_P_7,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L28_P_8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L29_P_9,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L30_P_10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L31_P_11,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L33_P_12,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L34_P_13,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L35_P_14,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L36_P_15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L37_P_16,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
html_a_L39_P_17,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,PASS
html_a_L40_P_18,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,PASS
testIteratorRemovable_a_L53_P_19,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,PASS
removeCaseSensitive_a_L94_P_20,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,PASS
removeCaseSensitive_a_L97_P_21,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,PASS
removeCaseSensitive_a_L98_P_22,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,PASS
removeCaseSensitive_a_L99_P_23,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,PASS
