file,line,approx,answerable
src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,952,True,True
src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,1081,True,True
src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,1162,True,False
src/main/java/com/fasterxml/jackson/core/json/ReaderBasedJsonParser.java,1163,True,False
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,1244,True,False
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,1280,True,False
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,1407,True,True
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,1421,True,False
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,1422,True,False
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,1423,True,False
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,2575,False,True
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,2576,False,True
src/main/java/com/fasterxml/jackson/core/json/UTF8StreamJsonParser.java,2577,False,True
