rank,statement_id,file,line,code,ochiai_score,tie_size,r_worst
1,S1,BeanPointer.java,46,"super(null, locale);",1.0,77,77
1,S2,BeanPointer.java,47,this.name = name;,1.0,77,77
1,S3,BeanPointer.java,48,this.bean = bean;,1.0,77,77
1,S4,BeanPointer.java,49,this.beanInfo = beanInfo;,1.0,77,77
1,S5,BeanPointerFactory.java,33,public class BeanPointerFactory implements NodePointerFactory {,1.0,77,77
1,S6,BeanPointerFactory.java,46,JXPathBeanInfo bi = JXPathIntrospector.getBeanInfo(bean.getClass());,1.0,77,77
1,S7,BeanPointerFactory.java,47,"return new BeanPointer(name, bean, bi, locale);",1.0,77,77
1,S8,CollectionPointerFactory.java,32,public class CollectionPointerFactory implements NodePointerFactory {,1.0,77,77
1,S9,ContainerPointerFactory.java,32,public class ContainerPointerFactory implements NodePointerFactory {,1.0,77,77
1,S10,DynamicPointerFactory.java,36,public class DynamicPointerFactory implements NodePointerFactory {,1.0,77,77
1,S11,JXPathContext.java,403,"return getContextFactory().newContext(null, contextBean);",1.0,77,77
1,S12,JXPathContext.java,422,if (contextFactory == null) {,1.0,77,77
1,S13,JXPathContext.java,423,contextFactory = JXPathContextFactory.newInstance();,1.0,77,77
1,S14,JXPathContext.java,425,return contextFactory;,1.0,77,77
1,S15,JXPathContext.java,433,this.parentContext = parentContext;,1.0,77,77
1,S16,JXPathContext.java,543,if (locale == null) {,1.0,77,77
1,S17,JXPathContext.java,544,if (parentContext != null) {,1.0,77,77
1,S18,JXPathContext.java,548,locale = Locale.getDefault();,1.0,77,77
1,S19,JXPathContext.java,551,return locale;,1.0,77,77
1,S20,JXPathContextFactory.java,56,private static String factoryImplName = null;,1.0,77,77
1,S21,JXPathContextFactory.java,98,if (factoryImplName == null) {,1.0,77,77
1,S22,JXPathContextFactory.java,99,factoryImplName =,1.0,77,77
1,S23,JXPathContextFactory.java,105,Class clazz = Class.forName(factoryImplName);,1.0,77,77
1,S24,JXPathContextFactory.java,106,factoryImpl = (JXPathContextFactory) clazz.newInstance();,1.0,77,77
1,S25,JXPathContextFactory.java,117,return factoryImpl;,1.0,77,77
1,S26,JXPathContextFactory.java,240,return defaultFactory;,1.0,77,77
1,S27,JXPathContextFactoryReferenceImpl.java,39,"return new JXPathContextReferenceImpl(parentContext, contextBean);",1.0,77,77
1,S28,JXPathContextReferenceImpl.java,75,private static Vector nodeFactories = new Vector();,1.0,77,77
1,S29,JXPathContextReferenceImpl.java,76,private static NodePointerFactory nodeFactoryArray[] = null;,1.0,77,77
1,S30,JXPathContextReferenceImpl.java,78,nodeFactories.add(new CollectionPointerFactory());,1.0,77,77
1,S31,JXPathContextReferenceImpl.java,79,nodeFactories.add(new BeanPointerFactory());,1.0,77,77
1,S32,JXPathContextReferenceImpl.java,80,nodeFactories.add(new DynamicPointerFactory());,1.0,77,77
1,S33,JXPathContextReferenceImpl.java,83,Object domFactory = allocateConditionally(,1.0,77,77
1,S34,JXPathContextReferenceImpl.java,86,if (domFactory != null) {,1.0,77,77
1,S35,JXPathContextReferenceImpl.java,87,nodeFactories.add(domFactory);,1.0,77,77
1,S36,JXPathContextReferenceImpl.java,91,Object jdomFactory = allocateConditionally(,1.0,77,77
1,S37,JXPathContextReferenceImpl.java,94,if (jdomFactory != null) {,1.0,77,77
1,S38,JXPathContextReferenceImpl.java,95,nodeFactories.add(jdomFactory);,1.0,77,77
1,S39,JXPathContextReferenceImpl.java,99,Object dynaBeanFactory =,1.0,77,77
1,S40,JXPathContextReferenceImpl.java,104,if (dynaBeanFactory != null) {,1.0,77,77
1,S41,JXPathContextReferenceImpl.java,105,nodeFactories.add(dynaBeanFactory);,1.0,77,77
1,S42,JXPathContextReferenceImpl.java,108,nodeFactories.add(new ContainerPointerFactory());,1.0,77,77
1,S43,JXPathContextReferenceImpl.java,109,createNodeFactoryArray();,1.0,77,77
1,S44,JXPathContextReferenceImpl.java,124,"this(parentContext, contextBean, null);",1.0,77,77
1,S45,JXPathContextReferenceImpl.java,132,"super(parentContext, contextBean);",1.0,77,77
1,S46,JXPathContextReferenceImpl.java,138,if (contextPointer != null) {,1.0,77,77
1,S47,JXPathContextReferenceImpl.java,147,this.contextPointer =,1.0,77,77
1,S48,JXPathContextReferenceImpl.java,152,this.rootPointer = this.contextPointer;,1.0,77,77
1,S49,JXPathContextReferenceImpl.java,155,NamespaceResolver parentNR = null;,1.0,77,77
1,S50,JXPathContextReferenceImpl.java,159,namespaceResolver = new NamespaceResolver(parentNR);,1.0,77,77
1,S51,JXPathContextReferenceImpl.java,165,if (nodeFactoryArray == null) {,1.0,77,77
1,S52,JXPathContextReferenceImpl.java,166,nodeFactoryArray =,1.0,77,77
1,S53,JXPathContextReferenceImpl.java,192,return nodeFactoryArray;,1.0,77,77
1,S54,JXPathContextReferenceImpl.java,722,Class cls = Class.forName(className);,1.0,77,77
1,S55,JXPathContextReferenceImpl.java,723,return cls.newInstance();,1.0,77,77
1,S56,JXPathIntrospector.java,32,private static HashMap byClass = new HashMap();,1.0,77,77
1,S57,JXPathIntrospector.java,102,JXPathBeanInfo beanInfo = (JXPathBeanInfo) byClass.get(beanClass);,1.0,77,77
1,S58,JXPathIntrospector.java,113,return beanInfo;,1.0,77,77
