virtual_test_id,result
testDefaultArgName_out_L321_F_1,FAIL
testPrintSortedUsage_out_L235_P_1,PASS
testPrintSortedUsageWithNullComparator_out_L251_P_2,PASS
testPrintOptionGroupUsage_out_L269_P_3,PASS
testPrintRequiredOptionGroupUsage_out_L288_P_4,PASS
testPrintOptionWithEmptyArgNameUsage_out_L305_P_5,PASS
testHeaderStartingWithLineSeparator_out_L371_P_6,PASS
testOptionWithoutShortFormat_out_L391_P_7,PASS
testOptionWithoutShortFormat2_out_L453_P_8,PASS
testHelpWithLongOptSeparator_out_L486_P_9,PASS
testUsageWithLongOptSeparator_out_L510_P_10,PASS
