project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice,unanswerable_reason,nearest_line_diff_trace,diff_best_trace,diff_tie_trace,diff_reason_trace,nearest_line_diff_slice,diff_best_slice,diff_tie_slice,diff_reason_slice
Cli,11b,HelpFormatter.java,632,125,9,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,12b,GnuParser.java,81,4,1,None,None,,0,already_found,already_found,succeed,-50,1,1,succeed
Cli,14b,GroupImpl.java,250,105,14,160,199,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,14b,GroupImpl.java,251,23,1,None,None,,0,already_found,already_found,succeed,-1,160,199,succeed
Cli,14b,GroupImpl.java,252,None,None,None,None,dead_code_never_executed,-1,23,1,succeed,-2,160,199,succeed
Cli,14b,GroupImpl.java,255,105,14,160,199,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,14b,GroupImpl.java,262,73,5,160,199,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,13b,ArgumentImpl.java,144,149,6,None,None,,0,already_found,already_found,succeed,3,103,236,succeed
Cli,13b,WriteableCommandLine.java,47,None,None,None,None,dead_code_never_executed,None,None,None,project_test_scenario,None,None,None,project_test_scenario
Cli,13b,WriteableCommandLineImpl.java,132,None,None,None,None,dead_code_never_executed,-3,182,35,succeed,-3,23,9,succeed
Cli,13b,WriteableCommandLineImpl.java,133,None,None,None,None,dead_code_never_executed,-4,182,35,succeed,-4,23,9,succeed
Cli,13b,WriteableCommandLineImpl.java,135,None,None,None,None,dead_code_never_executed,4,329,1067,succeed,-6,23,9,succeed
Cli,15b,WriteableCommandLineImpl.java,117,197,4,216,38,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,15b,WriteableCommandLineImpl.java,118,384,840,216,38,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,15b,WriteableCommandLineImpl.java,122,197,4,216,38,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,15b,WriteableCommandLineImpl.java,123,384,840,216,38,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,15b,WriteableCommandLineImpl.java,124,None,None,None,None,dead_code_never_executed,-1,384,840,succeed,-1,216,38,succeed
Cli,15b,WriteableCommandLineImpl.java,127,None,None,None,None,dead_code_never_executed,2,197,4,succeed,2,2,57,succeed
Cli,15b,WriteableCommandLineImpl.java,128,None,None,None,None,dead_code_never_executed,1,197,4,succeed,1,2,57,succeed
Cli,17b,PosixParser.java,300,29,50,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,16b,GroupImpl.java,90,349,15,2,353,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,16b,Option.java,206,None,None,None,None,dead_code_never_executed,None,None,None,project_test_scenario,None,None,None,project_test_scenario
Cli,16b,Option.java,216,None,None,None,None,dead_code_never_executed,None,None,None,project_test_scenario,None,None,None,project_test_scenario
Cli,16b,OptionImpl.java,36,None,None,None,None,dead_code_never_executed,7,412,3,succeed,7,2,353,succeed
Cli,16b,OptionImpl.java,128,None,None,None,None,dead_code_never_executed,4,397,9,succeed,4,2,353,succeed
Cli,16b,OptionImpl.java,129,None,None,None,None,dead_code_never_executed,3,397,9,succeed,3,2,353,succeed
Cli,16b,WriteableCommandLineImpl.java,74,None,None,None,None,dead_code_never_executed,-4,139,1,succeed,-4,2,353,succeed
Cli,18b,PosixParser.java,128,300,344,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,18b,PosixParser.java,213,None,None,None,None,dead_code_never_executed,2,300,344,succeed,None,None,None,project_test_scenario
Cli,18b,PosixParser.java,215,300,344,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,18b,PosixParser.java,216,None,None,None,None,dead_code_never_executed,-1,300,344,succeed,None,None,None,project_test_scenario
Cli,18b,PosixParser.java,238,1,12,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,19b,PosixParser.java,232,282,2,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,19b,PosixParser.java,237,285,359,None,None,,0,already_found,already_found,succeed,None,None,None,pipeline_gap
Cli,19b,PosixParser.java,239,None,None,None,None,dead_code_never_executed,-2,285,359,succeed,None,None,None,project_test_scenario
Cli,1b,CommandLine.java,19,None,None,None,None,dead_code_never_executed,24,261,15,succeed,24,3,119,succeed
Cli,1b,CommandLine.java,23,None,None,None,None,dead_code_never_executed,20,261,15,succeed,20,3,119,succeed
Cli,1b,CommandLine.java,46,261,15,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,47,261,15,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,51,261,15,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,69,298,1,None,None,,0,already_found,already_found,succeed,-18,3,119,succeed
Cli,1b,CommandLine.java,93,301,271,None,None,,0,already_found,already_found,succeed,30,3,119,succeed
Cli,1b,CommandLine.java,98,301,271,None,None,,0,already_found,already_found,succeed,25,3,119,succeed
Cli,1b,CommandLine.java,149,292,5,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,151,292,5,1,2,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,152,292,5,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,154,218,6,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
Cli,1b,CommandLine.java,155,None,None,None,None,dead_code_never_executed,-1,218,6,succeed,-1,3,119,succeed
Cli,1b,CommandLine.java,156,292,5,3,119,,0,already_found,already_found,succeed,0,already_found,already_found,succeed
