name,elapsed_s,status
Cli_10b,662,FAIL
Cli_11b,503,OK
Cli_12b,570,OK
Cli_14b,1902,OK
Cli_13b,2562,OK
Cli_15b,2504,OK
Cli_17b,834,OK
Cli_16b,3322,OK
Cli_18b,837,OK
Cli_19b,859,OK
Cli_1b,810,OK
Cli_20b,847,OK
Cli_22b,1362,OK
Cli_23b,890,OK
Cli_21b,3152,OK
Cli_24b,875,OK
Cli_25b,1178,OK
Cli_26b,1299,OK
Cli_27b,1166,OK
Cli_29b,1307,OK
Cli_2b,783,OK
Cli_28b,2799,OK
Cli_30b,1220,OK
Cli_32b,430,OK
Cli_31b,1820,OK
Cli_33b,943,OK
Cli_35b,2619,OK
Cli_34b,3297,OK
Cli_37b,166,OK
Cli_38b,242,OK
Cli_39b,146,OK
Cli_36b,1231,OK
Cli_3b,635,OK
Cli_4b,769,OK
Cli_7b,108,OK
Cli_5b,1250,OK
Cli_8b,607,OK
Codec_10b,144,OK
Cli_9b,804,OK
Codec_11b,879,OK
Codec_12b,1511,OK
Codec_14b,244,OK
Codec_15b,6591,OK
Codec_16b,1103,OK
Codec_17b,4997,OK
Codec_18b,6599,OK
Codec_1b,527,OK
Codec_2b,462,OK
Codec_3b,7563,OK
Codec_4b,547,OK
Codec_5b,806,OK
Codec_6b,91,OK
Codec_7b,6354,OK
Codec_8b,711,OK
Codec_13b,39893,OK
Collections_25b,8905,OK
Collections_26b,592,OK
Collections_27b,970,OK
Collections_28b,4649,OK
Csv_10b,3757,OK
Csv_11b,1967,OK
Codec_9b,25569,OK
Csv_13b,2401,OK
Csv_12b,8154,OK
Csv_14b,5663,OK
Csv_15b,6465,OK
Csv_16b,4235,OK
Csv_1b,922,OK
Csv_2b,822,OK
Csv_4b,1438,OK
Csv_3b,2510,OK
Csv_5b,1109,OK
Csv_6b,830,OK
Csv_7b,1096,OK
Csv_9b,868,OK
Csv_8b,1984,OK
JacksonXml_2b,2873,OK
JacksonXml_1b,3724,OK
JacksonXml_3b,1823,OK
JacksonXml_5b,1543,OK
JacksonXml_4b,3319,OK
Jsoup_1b,26,FAIL
Jsoup_3b,26,FAIL
JacksonXml_6b,4296,OK
Jsoup_7b,127,OK
Jsoup_6b,69225,OK
Chart_6b,7018,OK
Chart_7b,4195,OK
Chart_8b,4584,OK
Chart_9b,964,OK
Chart_10b,270,OK
Chart_5b,18082,OK
Chart_3b,21674,OK
Chart_1b,27662,OK
Chart_4b,28264,OK
Chart_12b,10291,OK
Chart_11b,12289,OK
Chart_16b,3267,OK
Chart_17b,3141,OK
Chart_15b,6660,OK
Chart_14b,13589,OK
Chart_13b,20901,OK
Chart_19b,11527,OK
Chart_21b,3094,OK
Chart_24b,412,OK
Chart_25b,812,OK
Chart_23b,1593,OK
Chart_20b,11195,OK
Chart_22b,4478,OK
Gson_3b,5581,OK
Chart_18b,23504,OK
Gson_5b,122,OK
Gson_1b,9874,OK
Chart_2b,56514,OK
Chart_26b,13881,OK
Gson_8b,3042,OK
Gson_2b,18750,OK
Gson_9b,5646,OK
Gson_12b,5330,OK
Gson_11b,6150,OK
Gson_14b,67,OK
Gson_6b,19742,OK
Gson_16b,76,OK
Gson_15b,5761,OK
Gson_18b,261,OK
JacksonCore_1b,1263,OK
Gson_17b,4316,OK
Gson_10b,19983,OK
JacksonCore_2b,1396,OK
JacksonCore_4b,1574,OK
JacksonCore_3b,2062,OK
JacksonCore_5b,2164,OK
JacksonCore_7b,1072,OK
JacksonCore_6b,2263,OK
JacksonCore_8b,2380,OK
JacksonCore_9b,2012,OK
JacksonCore_11b,2374,OK
Gson_4b,35406,OK
JacksonCore_13b,2520,OK
JacksonCore_15b,836,OK
JacksonCore_16b,692,OK
JacksonCore_17b,2653,OK
JacksonCore_14b,7075,OK
JacksonCore_12b,10593,OK
JacksonCore_18b,2655,OK
JacksonCore_19b,2673,OK
JacksonCore_20b,4180,OK
JacksonCore_21b,3324,OK
JacksonCore_22b,5053,OK
JacksonCore_23b,4848,OK
Gson_7b,51634,OK
JxPath_1b,1284,OK
JacksonCore_26b,5311,OK
JxPath_2b,1172,OK
JxPath_3b,1273,OK
JxPath_4b,1362,OK
JxPath_5b,1474,OK
JxPath_6b,1501,OK
JxPath_7b,447,OK
JxPath_8b,458,OK
Gson_13b,42589,OK
JxPath_11b,272,OK
JxPath_10b,500,OK
JxPath_9b,1539,OK
JxPath_12b,1422,OK
JxPath_13b,1423,OK
JxPath_14b,1263,OK
JxPath_17b,293,OK
JxPath_15b,1442,OK
JxPath_16b,1485,OK
JxPath_20b,472,OK
JxPath_18b,1510,OK
JxPath_19b,1643,OK
JxPath_21b,1826,OK
JxPath_22b,1752,OK
Lang_4b,1208,OK
Lang_5b,217,OK
Lang_6b,6435,OK
JacksonCore_10b,45227,OK
Lang_8b,1122,OK
Lang_9b,1167,OK
Lang_10b,1158,OK
Lang_11b,114,OK
Lang_12b,341,OK
Lang_3b,15303,OK
Lang_13b,1395,OK
Lang_1b,16672,OK
Lang_15b,14175,OK
Lang_17b,861,OK
Lang_18b,3447,OK
Lang_19b,424,OK
JacksonCore_25b,50098,OK
Lang_21b,6286,OK
Lang_7b,33178,OK
Lang_23b,102,OK
Lang_24b,891,OK
Lang_16b,26803,OK
Lang_25b,265,OK
Lang_26b,1081,OK
Lang_28b,1065,OK
Lang_27b,5358,OK
JacksonCore_24b,71466,OK
Lang_29b,34683,OK
Lang_32b,2086,OK
Lang_33b,30513,OK
Lang_22b,78911,FAIL
Lang_34b,8317,OK
Lang_36b,4777,OK
Lang_35b,6111,OK
Lang_38b,570,OK
Lang_37b,5089,OK
Lang_40b,4084,OK
Math_2b,303,OK
Math_1b,6638,OK
Math_4b,11921,OK
Lang_41b,21898,OK
Lang_42b,1336,OK
Lang_43b,7063,OK
Lang_44b,19000,OK
Math_5b,38216,OK
Math_3b,75368,OK
Lang_45b,32429,OK
Lang_46b,2048,OK
Lang_31b,174863,OK
Lang_14b,216653,OK
Lang_30b,183963,OK
Lang_49b,2511,OK
Lang_50b,4934,OK
Lang_52b,4362,OK
Lang_20b,213928,OK
Lang_54b,209,OK
Lang_55b,318,OK
Lang_56b,1623,OK
Lang_57b,131,OK
Lang_53b,10225,OK
Lang_51b,24915,OK
Lang_60b,1691,OK
Lang_58b,35309,OK
Lang_62b,1187,OK
Lang_63b,286,OK
Lang_64b,704,OK
Lang_65b,622,OK
Lang_39b,163065,OK
Math_2b,620,OK
Math_1b,7501,OK
Math_4b,11935,OK
Lang_48b,82385,OK
Lang_47b,100666,OK
Lang_59b,87006,OK
Math_8b,2120,OK
Math_9b,1224,OK
Math_5b,38426,OK
Math_11b,784,OK
Lang_61b,87072,OK
Math_6b,156379,OK
Math_6b,39978,FAIL
Math_10b,7575,OK
Math_8b,3189,OK
Math_12b,7640,OK
Math_9b,3612,OK
Math_14b,15051,OK
Math_3b,74745,OK
Math_7b,46824,FAIL
Math_7b,153785,FAIL
Math_29b,203,OK
