Project,BugID,Baseline_Time_(s),SBFL_Time_(s),Hybrid_Time_(s),Avg_Slice_Time_(s),Peak_Memory_(KB)
Cli,11b,3.42,140.129,493.926,14.01,468116.0
Cli,12b,3.266,200.121,561.245,14.167,463824.0
Cli,14b,5.688,909.398,1886.006,21.48,670504.0
Cli,13b,5.701,1731.953,2540.655,21.185,663344.0
Cli,15b,5.724,1346.154,2484.51,21.575,668992.0
Cli,17b,3.66,552.207,823.627,14.632,501936.0
Cli,16b,5.732,1883.403,3300.175,21.962,666904.0
Cli,18b,3.566,553.958,827.734,14.783,527496.0
Cli,19b,3.448,559.91,848.997,14.74,533288.0
Cli,1b,3.292,430.362,800.936,15.743,541348.0
Cli,20b,3.451,559.908,836.465,14.753,542056.0
Cli,22b,3.561,532.147,1352.05,14.637,545692.0
Cli,23b,3.512,199.848,881.396,15.078,548972.0
Cli,21b,6.096,1795.761,3130.113,22.116,669088.0
Cli,24b,3.489,209.937,865.521,14.721,549324.0
Cli,25b,3.491,211.004,1169.602,15.11,549664.0
Cli,26b,3.516,624.849,1288.798,14.852,549204.0
Cli,27b,3.604,513.166,1155.602,15.682,543076.0
Cli,29b,3.592,769.141,1296.31,15.706,550576.0
Cli,2b,3.344,392.161,773.392,15.336,537076.0
Cli,28b,3.715,779.343,2787.601,16.583,551116.0
Cli,30b,3.647,770.484,1208.939,16.027,549116.0
Cli,32b,3.814,265.42,419.735,14.63,544580.0
Cli,31b,3.569,986.754,1808.228,16.541,554780.0
Cli,33b,3.712,268.552,934.415,16.19,555268.0
Cli,35b,3.94,965.783,2606.314,17.507,658704.0
Cli,34b,3.722,1030.493,3284.681,16.513,552940.0
Cli,37b,3.891,41.513,157.76,16.676,543064.0
Cli,38b,3.949,46.546,233.297,16.87,548524.0
Cli,39b,3.885,103.297,138.278,0.0,179776.0
Cli,36b,3.918,905.378,1219.058,18.062,564868.0
Cli,3b,3.325,6.992,626.705,16.582,546600.0
Cli,4b,3.142,475.6,759.767,15.466,545868.0
Cli,7b,5.663,7.695,97.83,20.999,603512.0
Cli,5b,3.213,491.352,1239.804,15.732,538284.0
Cli,8b,3.425,115.33,598.735,15.869,612032.0
Codec,10b,7.455,54.432,131.777,29.108,834488.0
Cli,9b,3.343,497.878,794.361,15.94,537216.0
Codec,11b,19.875,202.584,852.755,32.656,2216780.0
Codec,12b,11.801,231.518,1492.248,32.123,1665648.0
Codec,14b,9.112,172.578,228.957,0.0,887176.0
Codec,15b,12.719,178.106,6570.914,35.784,1673416.0
Codec,16b,13.12,218.492,1082.271,31.912,1681580.0
Codec,17b,13.61,2102.317,4955.876,39.428,1683540.0
Codec,18b,13.605,2127.335,6557.309,38.972,1684536.0
Codec,1b,3.987,397.959,516.839,0.0,181756.0
