project,bug_id,full_execution_size,passing_TC_size,failing_TC_size,union_passing_slice,union_failing_slice,union_all_slice,all_reduction_ratio
Cli,11b,491,479,167,0,0,0,1.0
Cli,12b,471,461,252,10,7,10,0.978769
Cli,14b,1271,1262,392,339,159,358,0.718332
Cli,13b,1395,1395,328,316,102,338,0.757706
Cli,15b,1223,1223,383,239,245,253,0.793132
Cli,17b,641,630,308,0,0,0,1.0
Cli,16b,1465,1465,415,354,1,354,0.758362
Cli,18b,643,631,299,0,0,0,1.0
Cli,19b,643,633,284,0,0,0,1.0
Cli,1b,571,542,300,0,121,121,0.788091
Cli,20b,642,632,297,0,0,0,1.0
Cli,22b,638,627,318,118,8,119,0.81348
Cli,23b,524,521,222,9,55,55,0.895038
Cli,21b,1422,1416,415,363,0,363,0.744726
Cli,24b,526,523,208,9,0,9,0.98289
Cli,25b,526,523,208,92,0,92,0.825095
Cli,26b,711,709,341,0,0,0,1.0
Cli,27b,576,572,201,0,0,0,1.0
Cli,29b,649,647,307,6,6,12,0.98151
Cli,2b,565,538,287,8,3,8,0.985841
Cli,28b,650,646,344,245,95,246,0.621538
Cli,30b,654,651,355,8,3,8,0.987768
Cli,32b,553,549,25,0,10,10,0.981917
Cli,31b,737,737,282,0,0,0,1.0
Cli,33b,551,551,75,0,0,0,1.0
Cli,35b,822,822,110,136,1,137,0.833333
Cli,34b,793,741,327,220,47,226,0.715006
Cli,37b,370,355,162,7,7,7,0.981081
Cli,38b,383,383,164,7,7,7,0.981723
Cli,39b,474,472,208,0,0,0,1.0
Cli,36b,826,826,74,0,68,68,0.917676
Cli,3b,260,0,260,0,8,8,0.969231
Cli,4b,587,560,303,0,79,79,0.865417
Cli,7b,285,0,285,0,165,165,0.421053
Cli,5b,589,562,295,105,12,106,0.820034
Cli,8b,477,467,154,96,22,96,0.798742
Codec,10b,64,64,63,0,0,0,1.0
Cli,9b,616,606,308,78,86,86,0.86039
Codec,11b,210,210,56,3,4,4,0.980952
Codec,12b,342,314,234,75,79,87,0.745614
Codec,14b,421,421,369,0,0,0,1.0
Codec,15b,171,171,42,1,1,1,0.994152
Codec,16b,282,281,25,1,0,1,0.996454
Codec,17b,1407,1406,19,36,2,37,0.973703
Codec,18b,1419,1407,25,47,6,49,0.965469
Codec,1b,651,651,0,0,0,0,1.0
Codec,2b,330,330,77,0,0,0,1.0
Codec,3b,446,446,180,0,3,3,0.993274
Codec,4b,381,381,76,0,0,0,1.0
Codec,5b,381,381,99,0,23,23,0.939633
Codec,6b,188,188,63,0,0,0,1.0
Codec,7b,384,383,116,27,3,30,0.921875
Codec,8b,375,375,70,0,17,17,0.954667
Codec,13b,1333,1333,14,109,2,111,0.916729
Collections,25b,1438,1435,77,73,16,89,0.938108
Collections,26b,549,549,12,9,0,9,0.983607
Collections,27b,481,479,19,0,9,9,0.981289
Collections,28b,463,463,314,120,30,120,0.740821
Csv,10b,554,554,77,63,26,68,0.877256
Csv,11b,563,563,181,1,1,1,0.998224
Codec,9b,361,361,84,25,0,25,0.930748
