virtual_test_id,S1,S2,S3,S4,S5,S6,S7,result
shouldNotThrowExceptionOnEmptyCharset_DataUtil_L40_F_1,0,0,0,0,0,0,0,FAIL
shouldSelectFirstCharsetOnWeirdMultileCharsetsInMetaTags_DataUtil_L46_F_2,0,0,0,0,0,0,0,FAIL
shouldCorrectCharsetForDuplicateCharsetString_DataUtil_L51_F_3,0,0,0,0,0,0,0,FAIL
shouldReturnNullForIllegalCharsetNames_DataUtil_L56_F_4,0,0,0,0,0,0,0,FAIL
testBrokenHtml5CharsetWithASingleDoubleQuote_doc_L149_F_5,0,0,0,0,0,0,0,FAIL
testCharset_DataUtil_L15_P_1,0,0,0,0,0,0,0,PASS
testCharset_DataUtil_L16_P_2,1,1,1,0,1,1,0,PASS
testCharset_DataUtil_L17_P_3,1,1,1,0,1,1,0,PASS
testCharset_DataUtil_L18_P_4,0,0,0,0,0,0,1,PASS
testCharset_DataUtil_L19_P_5,0,1,0,0,0,0,1,PASS
testCharset_DataUtil_L20_P_6,1,1,1,1,0,0,1,PASS
testSmhBizArticle_doc_L26_P_7,0,0,0,0,0,0,0,PASS
testSmhBizArticle_doc_L28_P_8,0,0,0,0,0,0,0,PASS
testNewsHomepage_doc_L40_P_9,0,0,0,0,0,0,0,PASS
testNewsHomepage_doc_L41_P_10,0,0,0,0,0,0,0,PASS
testGoogleSearchIpod_doc_L58_P_11,0,0,0,0,0,0,0,PASS
testBinary_doc_L73_P_12,0,0,0,0,0,0,0,PASS
testYahooJp_doc_L80_P_13,0,0,0,0,0,0,0,PASS
testBaidu_doc_L103_P_14,0,0,0,0,0,0,0,PASS
testBaidu_doc_L104_P_15,0,0,0,0,0,0,0,PASS
testBaidu_doc_L107_P_16,0,0,0,0,0,0,0,PASS
testBaiduVariant_doc_L118_P_17,0,0,0,0,0,0,0,PASS
testBaiduVariant_doc_L119_P_18,0,0,0,0,0,0,0,PASS
testHtml5Charset_doc_L127_P_19,0,0,0,0,0,0,0,PASS
testHtml5Charset_doc_L128_P_20,0,0,0,0,0,0,0,PASS
testHtml5Charset_doc_L133_P_21,0,0,0,0,0,0,0,PASS
testHtml5Charset_doc_L139_P_22,0,0,0,0,0,0,0,PASS
testHtml5Charset_doc_L140_P_23,0,0,0,0,0,0,0,PASS
