Slice:
---------------------
(com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:65)  $stack6 = virtualinvoke this.<com.fasterxml.jackson.dataformat.xml.JacksonXmlModule: com.fasterxml.jackson.databind.AnnotationIntrospector _constructIntrospector()>() <---- com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:126
(com.fasterxml.jackson.dataformat.xml.JacksonXmlModule:126)  specialinvoke $u0.<com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector: void <init>(boolean)>($stack2) <---- com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector:34
(com.fasterxml.jackson.dataformat.xml.JacksonXmlAnnotationIntrospector:34)  specialinvoke this.<com.fasterxml.jackson.databind.introspect.JacksonAnnotationIntrospector: void <init>()>() <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:36
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:36)  this.<com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> = $stack1 <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:41
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:41)  $stack2 = this.<com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test: com.fasterxml.jackson.dataformat.xml.XmlMapper MAPPER> <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:41
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:41)  $stack3 = virtualinvoke $stack2.<com.fasterxml.jackson.dataformat.xml.XmlMapper: java.lang.Object readValue(java.lang.String,java.lang.Class)>("<IdWrapper><node><value><value>7</value></value><next><node>1</node></next><id>1</id></node></IdWrapper>", class "Lcom/fasterxml/jackson/dataformat/xml/misc/ObjectId104Test$IdWrapper;") <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:41
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:41)  result = (com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$IdWrapper) $stack3 <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44)  $stack13 = result.<com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$IdWrapper: com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$ValueNode node> <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44)  $stack10 = result.<com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$IdWrapper: com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$ValueNode node> <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44)  $stack11 = $stack10.<com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$ValueNode: com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$IdWrapper next> <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44)  $stack12 = $stack11.<com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$IdWrapper: com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test$ValueNode node> <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44
(com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44)  staticinvoke <com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test: void assertSame(java.lang.Object,java.lang.Object)>($stack13, $stack12) <---- com.fasterxml.jackson.dataformat.xml.misc.ObjectId104Test:44
