test_case,result,assertion_source_lines,dynamic_pass_asserts,dynamic_fail_asserts,trace_source
com.fasterxml.jackson.dataformat.xml.MapperCopyTest::testMapperCopy,PASS,8,17,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testMapperCopy_sc1_L42_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.MapperCopyTest::testSerializerProviderCopy,PASS,1,1,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testSerializerProviderCopy_copy_L52_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.MapperCopyTest::testMapperSerialization,PASS,2,6,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testMapperSerialization_mapper2_L70_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.MapperCopyTest::testCopyWith,PASS,0,0,0,
com.fasterxml.jackson.dataformat.xml.RoundtripContentTest::testRoundtrip,PASS,0,0,0,
com.fasterxml.jackson.dataformat.xml.VersionInfoTest::testMapperVersions,PASS,0,0,0,
com.fasterxml.jackson.dataformat.xml.adapters.TestIssue47Attribute::testEmptyStringFromElemAndAttr,PASS,3,10,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testEmptyStringFromElemAndAttr_res_L32_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.CaseInsensitiveDeserTest::testCaseInsensitive1036,PASS,2,4,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testCaseInsensitive1036_response_L46_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.DeserErrorHandling236Test::testExceptionWrapping,PASS,0,0,0,
com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest::testEmptyString162,PASS,3,5,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testEmptyString162_name_L40_traceonly/trace.log_icdg.log
com.fasterxml.jackson.dataformat.xml.deser.EmptyStringValueTest::testEmptyElement,PASS,6,10,0,/home/saglam84/SFL_Slicing/projects/ResearchQ_PL2/resQ_outputs/work/JacksonXml_6b/step2_slicing/_assert_trace_only/testEmptyElement_name_L58_traceonly/trace.log_icdg.log
